,index,0
0,1,7834009.0
1,2,816394.0
4,3,182644.0
6,4,69455.0
5,5,36339.0
12,6,22776.0
16,7,15822.0
20,8,11918.0
13,9,9298.0
82,10,7561.0
48,11,6356.0
76,12,5360.0
52,13,4656.0
31,14,4223.0
66,15,3717.0
68,16,3453.0
92,17,3354.0
3,18,3044.0
25,19,2882.0
24,20,2780.0
9,21,2702.0
17,22,2567.0
121,23,2487.0
37,24,2411.0
15,25,2392.0
94,26,2241.0
53,27,2297.0
88,28,2235.0
54,29,2362.0
100,30,2206.0
89,31,2033.0
80,32,2230.0
36,33,2154.0
99,34,2159.0
122,35,2199.0
191,36,2176.0
47,37,2110.0
97,38,2101.0
81,39,2101.0
40,40,2201.0
61,41,2160.0
120,42,2131.0
57,43,2171.0
41,44,2119.0
117,45,2089.0
125,46,2093.0
113,47,2095.0
35,48,2077.0
83,49,2100.0
23,50,2078.0
103,51,2168.0
116,52,2175.0
136,53,2090.0
85,54,2210.0
49,55,2073.0
21,56,2185.0
69,57,2230.0
72,58,2105.0
65,59,2039.0
112,60,2141.0
32,61,2112.0
220,62,2109.0
123,63,2142.0
109,64,2047.0
71,65,2065.0
39,66,2003.0
101,67,2117.0
217,68,1922.0
106,69,2033.0
43,70,2065.0
155,71,2000.0
203,72,1963.0
137,73,2000.0
229,74,2018.0
128,75,2021.0
182,76,1925.0
167,77,1953.0
74,78,1910.0
70,79,1904.0
18,80,1868.0
55,81,1894.0
104,82,1894.0
14,83,1903.0
79,84,1834.0
30,85,1871.0
42,86,1784.0
133,87,1825.0
172,88,1767.0
105,89,1891.0
175,90,1825.0
27,91,1751.0
115,92,1714.0
93,93,1709.0
131,94,1639.0
56,95,1701.0
19,96,1658.0
141,97,1592.0
108,98,1705.0
64,99,1623.0
77,100,1633.0
110,101,1505.0
149,102,1553.0
22,103,1512.0
75,104,1504.0
50,105,1523.0
95,106,1470.0
127,107,1500.0
90,108,1452.0
73,109,1514.0
174,110,1473.0
190,111,1461.0
38,112,1428.0
165,113,1448.0
84,114,1367.0
60,115,1379.0
146,116,1330.0
171,117,1340.0
126,118,1320.0
29,119,1288.0
58,120,1320.0
226,121,1283.0
150,122,1303.0
114,123,1271.0
227,124,1318.0
33,125,1197.0
179,126,1175.0
63,127,1165.0
124,128,1165.0
164,129,1175.0
153,130,1164.0
130,131,1103.0
181,132,1126.0
161,133,1150.0
132,134,1056.0
219,135,1112.0
62,136,1026.0
196,137,1022.0
159,138,999.0
197,139,1002.0
183,140,958.0
206,141,961.0
286,142,920.0
224,143,943.0
144,144,911.0
214,145,915.0
98,146,901.0
162,147,957.0
205,148,875.0
186,149,911.0
222,150,842.0
134,151,865.0
273,152,797.0
51,153,804.0
237,154,799.0
119,155,783.0
271,156,788.0
107,157,771.0
245,158,793.0
163,159,750.0
234,160,759.0
87,161,716.0
59,162,728.0
91,163,635.0
231,164,691.0
10,165,685.0
44,166,690.0
168,167,633.0
208,168,650.0
235,169,659.0
212,170,650.0
207,171,584.0
215,172,567.0
282,173,608.0
28,174,598.0
281,175,563.0
173,176,557.0
86,177,587.0
166,178,534.0
256,179,507.0
67,180,531.0
210,181,529.0
211,182,507.0
135,183,475.0
193,184,478.0
45,185,440.0
250,186,493.0
158,187,473.0
277,188,459.0
96,189,485.0
111,190,442.0
26,191,447.0
225,192,486.0
254,193,450.0
251,194,415.0
309,195,456.0
236,196,420.0
230,197,409.0
280,198,375.0
266,199,388.0
187,200,388.0
287,201,362.0
202,202,382.0
198,203,339.0
312,204,359.0
185,205,409.0
180,206,339.0
216,207,307.0
261,208,330.0
255,209,352.0
263,210,285.0
209,211,322.0
143,212,310.0
298,213,273.0
290,214,278.0
243,215,319.0
184,216,294.0
233,217,256.0
129,218,287.0
154,219,268.0
199,220,271.0
151,221,267.0
308,222,263.0
306,223,239.0
218,224,218.0
262,225,251.0
240,226,243.0
147,227,242.0
142,228,246.0
140,229,234.0
264,230,236.0
223,231,195.0
267,232,205.0
200,233,202.0
242,234,193.0
170,235,200.0
310,236,180.0
279,237,195.0
213,238,174.0
157,239,188.0
238,240,177.0
333,241,178.0
247,242,168.0
265,243,168.0
283,244,178.0
192,245,158.0
291,246,146.0
189,247,173.0
303,248,152.0
246,249,146.0
253,250,138.0
177,251,154.0
46,252,156.0
344,253,136.0
204,254,169.0
270,255,150.0
7,256,146.0
258,257,137.0
295,258,136.0
311,259,132.0
268,260,146.0
160,261,143.0
221,262,112.0
284,263,128.0
169,264,119.0
248,265,89.0
188,266,128.0
148,267,105.0
360,268,109.0
314,269,108.0
307,270,91.0
294,271,114.0
362,272,114.0
355,273,99.0
156,274,91.0
152,275,103.0
194,276,99.0
346,277,92.0
285,278,95.0
359,279,74.0
363,280,93.0
364,281,98.0
275,282,80.0
351,283,90.0
347,284,83.0
145,285,86.0
34,286,71.0
305,287,70.0
390,288,69.0
444,289,57.0
102,290,60.0
274,291,53.0
315,292,70.0
260,293,60.0
239,294,62.0
278,295,58.0
304,296,61.0
386,297,68.0
118,298,61.0
252,299,53.0
289,300,60.0
328,301,63.0
356,302,58.0
365,303,61.0
380,304,45.0
292,305,48.0
343,306,45.0
138,307,57.0
299,308,55.0
293,309,40.0
228,310,45.0
244,311,47.0
369,312,52.0
296,313,41.0
195,314,31.0
339,315,47.0
269,316,42.0
297,317,51.0
357,318,40.0
382,319,37.0
348,320,29.0
367,321,43.0
249,322,41.0
361,323,42.0
301,324,32.0
288,325,32.0
403,326,32.0
241,327,35.0
259,328,36.0
378,329,35.0
332,330,37.0
445,331,28.0
388,332,35.0
201,333,35.0
323,334,20.0
441,335,27.0
176,336,29.0
349,337,25.0
429,338,23.0
276,339,28.0
372,340,19.0
340,341,24.0
302,342,19.0
385,343,21.0
449,344,23.0
376,345,18.0
455,346,16.0
459,347,26.0
384,348,21.0
178,349,27.0
446,350,27.0
352,351,20.0
325,352,16.0
430,353,24.0
387,354,16.0
331,355,16.0
439,356,29.0
415,357,16.0
431,358,22.0
139,359,12.0
366,360,14.0
371,361,17.0
488,362,15.0
443,363,19.0
11,364,19.0
452,365,19.0
495,366,17.0
471,367,17.0
232,368,19.0
398,369,16.0
8,370,19.0
353,371,21.0
370,372,8.0
375,373,13.0
402,374,12.0
484,375,11.0
470,376,18.0
377,377,10.0
492,378,9.0
338,379,15.0
345,380,13.0
324,381,11.0
574,382,9.0
368,383,15.0
450,384,20.0
502,385,11.0
472,386,12.0
316,387,14.0
438,388,14.0
437,389,7.0
460,390,9.0
462,391,4.0
354,392,8.0
491,393,10.0
407,394,7.0
428,395,11.0
434,396,9.0
401,397,5.0
503,398,7.0
592,399,5.0
400,400,12.0
393,401,9.0
448,402,7.0
480,403,12.0
329,404,8.0
322,405,10.0
383,406,12.0
479,407,6.0
604,408,4.0
373,409,13.0
327,410,4.0
483,411,5.0
485,412,8.0
451,413,4.0
423,414,7.0
358,415,9.0
336,416,6.0
493,417,6.0
272,418,7.0
506,419,7.0
591,420,4.0
424,421,4.0
486,422,5.0
412,423,7.0
465,424,10.0
550,425,4.0
405,426,5.0
374,427,3.0
529,428,3.0
432,429,7.0
528,430,6.0
392,431,6.0
453,432,4.0
395,433,6.0
476,434,4.0
487,435,4.0
575,436,2.0
632,437,3.0
461,438,4.0
496,439,3.0
603,440,1.0
610,441,2.0
589,442,2.0
535,443,5.0
631,444,1.0
490,445,5.0
440,446,7.0
521,447,4.0
419,448,3.0
78,449,3.0
586,450,3.0
622,451,2.0
608,452,2.0
576,453,4.0
458,454,2.0
518,455,3.0
478,456,4.0
457,457,6.0
321,458,6.0
433,459,3.0
597,460,1.0
475,461,3.0
629,462,2.0
510,463,3.0
477,464,3.0
411,465,1.0
381,466,2.0
442,467,8.0
334,468,1.0
520,469,4.0
257,470,4.0
583,471,2.0
598,474,2.0
515,475,3.0
588,476,1.0
635,477,1.0
627,478,1.0
602,479,3.0
481,480,6.0
505,482,3.0
427,483,2.0
397,484,2.0
626,485,4.0
467,486,1.0
585,488,1.0
634,489,1.0
313,490,1.0
624,492,1.0
350,493,3.0
606,496,1.0
531,497,7.0
534,498,1.0
523,499,2.0
577,500,2.0
639,501,1.0
447,502,1.0
615,505,2.0
621,506,1.0
468,507,3.0
436,508,1.0
513,509,3.0
404,510,2.0
549,511,1.0
548,513,1.0
416,514,3.0
637,515,1.0
593,517,3.0
613,518,1.0
342,519,2.0
581,520,1.0
630,521,1.0
607,522,1.0
551,525,3.0
638,526,1.0
469,528,1.0
633,531,1.0
625,532,1.0
482,533,1.0
379,535,3.0
511,536,1.0
614,538,1.0
474,539,1.0
623,540,1.0
464,541,2.0
599,542,1.0
399,543,1.0
601,545,1.0
605,547,1.0
532,548,1.0
612,549,1.0
524,551,1.0
463,552,2.0
519,554,1.0
421,555,1.0
616,557,1.0
466,559,1.0
584,560,1.0
533,563,1.0
341,564,2.0
547,565,1.0
435,566,1.0
571,571,2.0
580,577,2.0
517,579,1.0
617,581,1.0
330,582,1.0
501,584,1.0
526,587,1.0
596,593,1.0
335,595,1.0
538,596,2.0
326,597,1.0
406,598,3.0
514,601,2.0
545,602,1.0
337,604,2.0
516,606,1.0
522,608,1.0
498,609,2.0
508,610,1.0
594,611,2.0
414,613,2.0
409,616,1.0
600,618,1.0
587,619,1.0
579,623,1.0
609,625,2.0
418,626,1.0
525,627,1.0
426,628,1.0
2,630,1.0
527,631,2.0
420,634,2.0
300,635,1.0
389,642,1.0
563,645,1.0
569,649,1.0
561,651,1.0
543,653,1.0
552,654,2.0
619,655,1.0
425,660,1.0
555,661,1.0
504,668,1.0
512,670,1.0
473,674,2.0
422,677,1.0
565,683,1.0
391,684,1.0
611,687,1.0
567,692,1.0
539,693,1.0
456,695,2.0
546,701,1.0
317,706,1.0
394,708,1.0
590,717,1.0
454,719,1.0
530,725,1.0
557,729,1.0
595,740,1.0
537,746,1.0
558,747,1.0
417,749,1.0
618,755,1.0
507,758,1.0
559,764,1.0
413,766,1.0
636,770,1.0
568,771,1.0
553,773,1.0
560,774,2.0
570,775,1.0
578,778,1.0
396,783,2.0
562,785,1.0
499,788,1.0
408,794,1.0
564,800,1.0
556,803,1.0
319,804,1.0
500,808,1.0
620,811,1.0
540,820,1.0
554,823,1.0
566,825,1.0
410,834,1.0
536,844,1.0
544,848,1.0
497,899,1.0
628,918,1.0
320,928,1.0
489,1048,1.0
318,1058,1.0
582,1064,1.0
494,1411,1.0
542,1422,1.0
573,1569,1.0
509,1918,1.0
572,2112,1.0
541,2232,1.0
