count,mask
40.5364,-genome-
8.3569,-bridge--genome-
7.8413,-bridge--gatc--genome-
4.1562,-genome--bridge--gatc--egdirb--genome-
3.9427,-genome--bridge--gatc--genome-
3.7629,-genome--egdirb-
3.6233,-genome--bridge--genome-
3.0929,-genome--egdirb--genome-
3.0088,-genome--gatc--egdirb-
2.3746,-genome--gatc--egdirb--genome-
1.2101,-genome--blunt--genome-
1.1927,-genome--tnulb--genome-
0.8903,-tnulb--genome-
0.4293,-bridge--gatc--egdirb--genome-
0.3868,-genome--bridge--gatc--egdirb-
0.2916,-bridge--gatc--genome--bridge--genome-
0.2492,-bridge--gatc--genome--egdirb--genome-
0.2302,-bridge--genome--bridge--genome-
0.2171,-blunt--genome-
0.2155,-bridge--genome--egdirb--genome-
0.2059,-bridge--gatc--genome--tnulb--genome-
0.1938,-genome--bridge--gatc--tnulb--genome-
0.1819,-genome--blunt-
0.1753,-bridge--genome--blunt--genome-
0.1699,-bridge--gatc--genome--blunt--genome-
0.1623,-bridge--genome--tnulb--genome-
0.1582,-tnulb--bridge--gatc--genome-
0.1502,-tnulb--bridge--genome-
0.1418,-genome--blunt--genome--egdirb--genome-
0.1408,-tnulb--genome--bridge--gatc--egdirb--genome-
0.1368,-genome--bridge--genome--tnulb--genome-
0.1266,-genome--tnulb-
0.1113,-genome--egdirb--genome--gatc--egdirb-
0.11,-tnulb--genome--egdirb-
0.1061,-tnulb--genome--bridge--gatc--genome-
0.1,-genome--egdirb--genome--egdirb-
0.0976,-genome--bridge--genome--gatc--egdirb-
0.0919,-genome--egdirb--[2]--
0.0914,-bridge--genome--blunt-
0.0904,-genome--bridge--[4]--egdirb--genome-
0.0885,-bridge--gatc--genome--blunt-
0.0885,-genome--egdirb--[1]--
0.088,-genome--bridge--genome--egdirb-
0.0822,-genome--bridge--gatc--genome--bridge--genome-
0.0822,-tnulb--genome--gatc--egdirb-
0.081,-tnulb--genome--bridge--genome-
0.079,-tnulb--genome--egdirb--genome-
0.0776,-genome--egdirb--blunt-
0.0771,-genome--tnulb--genome--egdirb-
0.0739,-bridge--gatc--tnulb--genome-
0.0725,-genome--blunt--genome--gatc--egdirb-
0.0725,-genome--bridge--gatc--[6]--
0.0713,-genome--bridge--gatc--genome--egdirb--genome-
0.071,-genome--bridge--gatc--tnulb-
0.0707,-genome--blunt--genome--bridge--genome-
0.0685,-genome--gatc--egdirb--[1]--
0.0682,-genome--bridge--genome--bridge--genome-
0.0681,-egdirb--genome-
0.067,-genome--blunt--genome--egdirb-
0.0662,-genome--gatc--egdirb--[2]--
0.0646,-genome--bridge--genome--egdirb--genome-
0.0645,-tnulb--genome--gatc--egdirb--genome-
0.0628,-genome--tnulb--genome--gatc--egdirb-
0.0612,-genome--bridge-
0.0607,-genome--egdirb--genome--tnulb--genome-
0.0602,-genome--egdirb--genome--egdirb--genome-
0.0597,-genome--egdirb--genome--gatc--egdirb--genome-
0.0588,-genome--bridge--gatc--egdirb--genome--blunt-
0.0581,-genome--gatc--egdirb--blunt-
0.0555,-genome--egdirb--genome--bridge--gatc--egdirb--genome-
0.0546,-genome--bridge--genome--bridge--gatc--egdirb--genome-
0.0537,-genome--bridge--gatc--genome--tnulb--genome-
0.0525,-genome--bridge--[2]--
0.0523,-genome--bridge--[1]--
0.052,-genome--bridge--genome--bridge--gatc--genome-
