count,mask
61.803,-genome-
11.577,-bridge--gatc--genome-
7.381,-bridge--genome-
2.654,-genome--bridge--genome-
2.197,-genome--egdirb--genome-
1.796,-genome--bridge--gatc--genome-
1.213,-genome--blunt--genome-
1.104,-genome--tnulb--genome-
0.979,-tnulb--genome-
0.809,-genome--gatc--egdirb--genome-
0.499,-bridge--gatc--egdirb--genome-
0.43,-bridge--gatc--genome--bridge--genome-
0.342,-genome--bridge--gatc--egdirb--genome-
0.295,-bridge--gatc--genome--egdirb--genome-
0.259,-bridge--gatc--genome--tnulb--genome-
0.2,-bridge--gatc--genome--blunt--genome-
0.191,-genome--blunt--genome--egdirb--genome-
0.167,-bridge--genome--bridge--genome-
0.157,-bridge--genome--egdirb--genome-
0.137,-genome--bridge--genome--tnulb--genome-
0.121,-bridge--genome--blunt--genome-
0.121,-bridge--genome--tnulb--genome-
0.097,-bridge--gatc--[6]--egdirb--genome-
0.095,-genome--gatc--egdirb--[1]--
0.09,-blunt--genome-
0.089,-tnulb--bridge--gatc--genome-
0.085,-genome--gatc--egdirb--[2]--
0.084,-genome--egdirb-
0.084,-genome--egdirb--[2]--
0.079,-genome--gatc--egdirb-
0.077,-genome--egdirb--[1]--
0.071,-genome--blunt--genome--bridge--genome-
0.064,-genome--egdirb--genome--tnulb--genome-
0.056,-egdirb--genome-
0.053,-genome--bridge--[1]--
0.048,-tnulb--bridge--genome-
0.036,-bridge--gatc--genome--bridge--genome--tnulb--genome-
0.034,-genome--egdirb--genome--egdirb--genome-
0.033,-genome--bridge-
0.033,-genome--bridge--[3]--
0.032,--[6]--bridge--genome-
0.032,-tnulb--genome--bridge--gatc--genome-
0.031,-tnulb--genome--egdirb--genome-
0.031,-genome--egdirb--[9]--
0.031,-genome--bridge--[2]--
0.029,-tnulb--genome--gatc--egdirb--genome-
0.029,-genome--bridge--gatc--genome--egdirb--genome-
0.028,-genome--egdirb--[10]--
0.027,--[4]--egdirb--genome-
0.027,-tnulb--genome--bridge--genome-
0.027,-genome--bridge--gatc--[5]--
0.027,-bridge--gatc--genome--blunt--genome--egdirb--genome-
0.027,--[6]--bridge--gatc--genome-
0.027,-genome--bridge--[5]--
0.026,-genome--bridge--gatc--genome--bridge--genome-
0.026,-genome--egdirb--genome--bridge--genome-
0.024,-genome--bridge--gatc--[6]--
0.024,-genome--bridge--[4]--
0.024,-bridge--genome--blunt--genome--egdirb--genome-
0.024,-genome--egdirb--[8]--
0.023,-genome--egdirb--[3]--
0.023,-genome--bridge--gatc--[1]--
0.023,-genome--bridge--genome--egdirb--genome-
0.023,-genome--egdirb--[6]--
0.023,-genome--egdirb--[11]--
0.023,-genome--egdirb--[7]--
0.022,-genome--bridge--[10]--
0.022,-genome--bridge--genome--bridge--gatc--genome-
0.022,--[2]--egdirb--genome-
0.022,-genome--bridge--[6]--
0.022,-bridge--gatc--[6]--egdirb--genome--tnulb--genome-
0.022,-genome--egdirb--[5]--
0.022,-genome--tnulb-
0.021,-genome--blunt--genome--gatc--egdirb--genome-
0.021,-genome--bridge--gatc--genome--tnulb--genome-
0.021,--[4]--bridge--gatc--genome-
0.021,-blunt--gac--genome-
0.021,-genome--egdirb--[4]--
0.02,-genome--blunt--[5]--
0.02,--[1]--bridge--genome-
0.02,-genome--bridge--[7]--
0.02,-genome--bridge--gatc-
0.02,-genome--bridge--gatc--[2]--
0.02,--[2]--bridge--genome-
0.02,--[6]--gatc--egdirb--genome-
0.02,-genome--bridge--genome--bridge--genome-
0.019,-genome--egdirb--genome--bridge--gatc--genome-
0.019,--[5]--bridge--genome-
0.019,--[10]--egdirb--genome-
0.019,-genome--gatc--egdirb--[8]--
0.019,-genome--blunt--genome--bridge--gatc--genome-
0.019,--[9]--bridge--genome-
0.018,--[5]--egdirb--genome-
0.018,-genome--bridge--[8]--
0.018,-bridge--genome--bridge--genome--tnulb--genome-
0.018,--[7]--bridge--gatc--genome-
0.018,-genome--blunt--[7]--
0.018,-genome--blunt--[1]--
0.017,-genome--bridge--gatc--[11]--
0.017,--[1]--bridge--gatc--genome-
0.017,-genome--bridge--gatc--[7]--
0.017,-bridge--gatc--genome--egdirb--genome--tnulb--genome-
0.017,--[6]--egdirb--genome-
0.017,-genome--tnulb--[8]--
0.016,-genome--tnulb--genome--bridge--genome-
0.016,-genome--tnulb--genome--blunt--genome-
0.016,--[10]--bridge--genome-
0.016,-genome--bridge--gatc--[10]--
0.016,-genome--blunt--[11]--
0.016,--[7]--bridge--genome-
0.016,--[9]--egdirb--genome-
0.016,-genome--tnulb--genome--egdirb--genome-
0.016,-genome--bridge--gatc--[4]--
0.016,--[3]--bridge--gatc--genome-
0.015,-genome--blunt--[2]--
0.015,-genome--bridge--[11]--
0.015,-genome--bridge--gatc--[3]--
0.015,--[10]--tnulb--genome-
0.015,-tnulb--bridge--gatc--egdirb--genome-
0.015,-genome--gatc--egdirb--[7]--
0.015,--[7]--egdirb--genome-
0.015,--[9]--blunt--genome-
0.015,-genome--bridge--[9]--
0.015,-genome--gatc--egdirb--[4]--
0.014,-bridge--gatc--genome--blunt--genome--bridge--genome-
0.014,-genome--egdirb--genome--blunt--genome-
0.014,--[8]--bridge--genome-
0.014,-genome--bridge--genome--blunt--genome-
0.014,--[7]--tnulb--genome-
0.014,-genome--bridge--gatc--egdirb--[1]--
0.014,--[3]--bridge--genome-
0.014,--[11]--tnulb--genome-
0.014,-genome--egdirb--genome--gatc--egdirb--genome-
0.014,-genome--blunt--[3]--
0.014,-genome--gatc--egdirb--[10]--
0.014,-genome--bridge--genome--gatc--egdirb--genome-
0.014,-bridge--gatc--egdirb--genome--egdirb--genome-
0.014,-genome--bridge--gatc--[6]--egdirb--genome-
0.014,-genome--blunt--[10]--
0.013,--[4]--bridge--genome-
0.013,--[8]--egdirb--genome-
0.013,-genome--bridge--gatc--genome--blunt--genome-
0.013,--[8]--bridge--gatc--genome-
0.013,--[11]--bridge--genome-
0.013,-genome--blunt--[9]--
0.012,-bridge--[3]--egdirb--genome-
0.012,-genome--gatc--egdirb--[5]--
0.012,--[1]--egdirb--genome-
0.012,-genome--tnulb--genome--bridge--gatc--genome-
0.012,--[5]--bridge--gatc--genome-
0.012,--[2]--bridge--gatc--genome-
0.012,--[6]--blunt--genome-
0.011,--[1]--tnulb--genome-
0.011,-tnulb--genome--tnulb--genome-
0.011,-bridge--gatc--[2]--tnulb--genome-
0.011,-genome--gatc--egdirb--[11]--
0.011,--[4]--blunt--genome-
0.011,--[11]--egdirb--genome-
0.011,--[11]--bridge--gatc--genome-
0.011,-genome--blunt-
0.011,--[5]--tnulb--genome-
0.01,--[9]--tnulb--genome-
0.01,--[3]--tnulb--genome-
0.01,-genome--bridge--gatc--[9]--
0.01,--[10]--bridge--genome--tnulb--genome-
0.01,-tnulb--genome--bridge--gatc--egdirb--genome-
0.01,-genome--blunt--[6]--
0.01,-genome--gatc--egdirb--[6]--
0.01,--[7]--gatc--egdirb--genome-
