count,mask
86.9533,-genome-
1.5179,-genome--egdirb--genome-
1.4352,-genome--bridge--genome-
1.264,-genome--blunt--genome-
1.1747,-genome--tnulb--genome-
0.9151,-genome--bridge--gatc--egdirb--genome-
0.8248,-bridge--gatc--genome-
0.523,-bridge--genome-
0.2682,-genome--egdirb-
0.2617,-genome--[t]bridge--genome-
0.2371,-genome--egdirb[a]--genome-
0.2366,-genome--gatc--egdirb-
0.2223,-genome--blunt--genome--egdirb--genome-
0.1789,-genome--gatc--egdirb--genome-
0.168,-genome--bridge--genome--tnulb--genome-
0.1445,-genome--bridge--gatc--genome-
0.132,-bridge--gatc--egdirb--genome-
0.0611,-genome--blunt--genome--bridge--genome-
0.0607,-genome--egdirb--genome--tnulb--genome-
0.0606,-genome--bridge--gatc--egdirb-
0.0548,-tnulb--genome-
0.0327,-genome--[t]bridge--gatc--egdirb--genome-
0.0325,-genome--bridge--gatc--egdirb[a]--genome-
0.0289,-bridge--gatc--genome--egdirb--genome-
0.0281,-bridge--gatc--genome--bridge--genome-
0.0271,-bridge--gatc--tnulb--genome-
0.0254,-genome--bridge--[2]--
0.0249,-genome--bridge--[1]--
0.0245,-genome--bridge--[3]--
0.0209,--[6]--gatc--egdirb--genome-
0.0206,-genome--bridge-
0.0201,-genome--blunt-
0.0194,-genome--bridge--gatc--[5]--
0.0188,-genome--bridge--[4]--egdirb--genome-
0.0184,-genome--bridge--gatc--[6]--
0.0181,--[2]--egdirb--genome-
0.0171,-genome--bridge--[4]--
0.0168,-genome--bridge--[9]--
0.0167,--[3]--egdirb--genome-
0.0164,-genome--bridge--gatc--[4]--
0.0164,-genome--bridge--gatc--[3]--
0.0164,--[9]--egdirb--genome-
0.0161,--[5]--gatc--egdirb--genome-
0.016,--[8]--tnulb--genome-
0.016,-genome--blunt--[10]--
0.0158,--[10]--tnulb--genome-
0.0156,--[3]--gatc--egdirb--genome-
0.0152,-bridge--gatc--genome--tnulb--genome-
0.0151,-genome--bridge--genome--bridge--gatc--egdirb--genome-
0.015,-genome--bridge--[5]--
0.0149,--[10]--egdirb--genome-
0.0148,--[5]--egdirb--genome-
0.0147,-genome--bridge--[10]--
0.0147,-genome--bridge--[11]--
0.0145,-genome--bridge--[6]--
0.0145,-bridge--genome--egdirb--genome-
0.0141,-genome--egdirb--[7]--
0.0141,--[7]--gatc--egdirb--genome-
0.014,-genome--bridge--[8]--
0.0139,-genome--blunt--[6]--
0.0139,-genome--bridge--gatc--egdirb--genome--egdirb--genome-
0.0138,--[6]--tnulb--genome-
0.0137,-genome--bridge--gatc--egdirb--[1]--
0.0136,-bridge--gatc--genome--blunt--genome-
0.0135,-genome--egdirb--genome--egdirb--genome-
0.0133,--[2]--tnulb--genome-
0.0132,-blunt--genome-
0.0132,-genome--bridge--gatc--egdirb--[2]--
0.0132,-genome--blunt--[2]--
0.0131,-genome--blunt--[7]--
0.013,--[3]--bridge--gatc--egdirb--genome-
0.013,--[11]--egdirb--genome-
0.0129,-genome--egdirb--[6]--
0.0128,-bridge--genome--tnulb--genome-
0.0128,-genome--blunt--[1]--
0.0128,-genome--bridge--gatc--egdirb--[6]--
0.0128,-genome--bridge--gatc--[1]--
0.0127,-genome--bridge--gatc--egdirb--genome--blunt--genome-
0.0126,-egdirb--genome-
0.0126,--[5]--bridge--genome-
0.0125,--[1]--tnulb--genome-
0.0125,-genome--blunt--[8]--
0.0125,-genome--bridge--gatc-
0.0124,--[9]--tnulb--genome-
0.0123,--[3]--tnulb--genome-
0.0123,-genome--egdirb--[10]--
0.0123,-genome--egdirb--[2]--
0.0123,--[6]--egdirb--genome-
0.0123,-genome--bridge--genome--bridge--genome-
0.0122,-genome--egdirb--[3]--
