count,mask
79.5695,-genome-
4.8955,-genome--illumina--genome-
1.6196,-genome--egdirb--genome-
1.5435,-genome--bridge--genome-
1.1693,-genome--blunt--genome-
1.0718,-genome--tnulb--genome-
0.7628,-genome--bridge--gatc--egdirb--genome-
0.6081,-bridge--gatc--genome-
0.3574,-bridge--genome-
0.2226,-genome--illumina-
0.2205,-genome--illumina--[1]--
0.2198,-genome--illumina--[4]--
0.2164,-genome--illumina--[2]--
0.2149,-genome--illumina--[5]--
0.214,-genome--blunt--genome--egdirb--genome-
0.2115,-genome--illumina--[6]--
0.2099,-genome--illumina--[3]--
0.205,-genome--illumina--[7]--
0.1966,-genome--illumina--[8]--
0.1948,-genome--illumina--[10]--
0.1927,-genome--illumina--[11]--
0.1904,-genome--illumina--[9]--
0.1697,-genome--egdirb--illumina--genome-
0.1628,-bridge--gatc--genome--illumina--genome-
0.1617,-genome--bridge--genome--tnulb--genome-
0.1522,-genome--bridge--gatc--egdirb--genome--illumina--genome-
0.1457,-genome--gatc--egdirb--illumina--genome-
0.1439,-genome--gatc--egdirb--genome-
0.1278,-bridge--genome--illumina--genome-
0.1156,-genome--bridge--gatc--genome-
0.1045,-genome--bridge--genome--illumina--genome-
0.1021,-bridge--gatc--egdirb--genome-
0.0926,-genome--egdirb--genome--illumina--genome-
0.0676,-genome--tnulb--genome--illumina--genome-
0.0618,-genome--blunt--genome--illumina--genome-
0.0591,-genome--blunt--genome--bridge--genome-
0.0572,-genome--egdirb--genome--tnulb--genome-
0.047,-tnulb--genome-
0.0354,-genome--bridge--gatc--egdirb--illumina--genome-
0.0337,-genome--gatc--egdirb--genome--illumina--genome-
0.0305,-genome--bridge--gatc--genome--illumina--genome-
0.0277,-bridge--gatc--egdirb--genome--illumina--genome-
0.0252,-genome--bridge--[1]--
0.0241,-bridge--gatc--genome--egdirb--genome-
0.0234,-bridge--gatc--genome--bridge--genome-
0.0229,-genome--bridge--[2]--
0.0229,-genome--bridge--[3]--
0.0215,-genome--bridge-
0.0193,-genome--egdirb--[7]--
0.0188,--[2]--egdirb--genome-
0.0177,-genome--bridge--[9]--
0.0173,-genome--egdirb--[6]--
0.0171,-bridge--gatc--tnulb--genome-
0.0169,--[9]--egdirb--genome-
0.0168,-genome--bridge--[4]--
0.0168,-genome--bridge--[4]--egdirb--genome-
0.0165,-genome--egdirb--[9]--
0.0163,--[5]--egdirb--genome-
0.016,--[10]--egdirb--genome-
0.0156,-genome--bridge--[11]--
0.0156,-genome--egdirb--[1]--
0.0155,-genome--bridge--genome--bridge--gatc--egdirb--genome-
0.0154,-genome--egdirb--[8]--
0.0154,-genome--egdirb--[3]--
0.0153,-genome--bridge--[5]--
0.0151,-genome--egdirb--[4]--
0.015,-genome--bridge--genome--bridge--genome-
0.015,--[3]--egdirb--genome-
0.0149,-genome--bridge--[10]--
0.0149,-genome--egdirb--genome--egdirb--genome-
0.0149,-genome--egdirb--[5]--
0.0147,-genome--egdirb-
0.0145,--[6]--gatc--egdirb--genome-
0.0144,-genome--egdirb--[2]--
0.0143,-genome--bridge--[6]--
0.0142,-genome--bridge--[8]--
0.0141,-genome--egdirb--[10]--
0.014,--[8]--tnulb--genome-
0.0137,--[7]--egdirb--genome-
0.0137,--[6]--egdirb--genome-
0.0136,--[11]--egdirb--genome-
0.0134,-genome--bridge--gatc--egdirb--genome--egdirb--genome-
0.0132,-genome--blunt--[10]--
0.0129,-bridge--genome--egdirb--genome-
0.0129,--[6]--tnulb--genome-
0.0127,-genome--blunt--[6]--
0.0127,--[7]--bridge--genome-
0.0126,--[10]--tnulb--genome-
0.0126,-genome--bridge--[7]--
0.0126,--[11]--bridge--genome-
0.0124,--[1]--egdirb--genome-
0.0122,--[4]--egdirb--genome-
0.0121,-genome--egdirb--[11]--
0.0121,-genome--blunt--[7]--
0.012,--[5]--bridge--genome-
0.012,-genome--egdirb--genome--bridge--gatc--egdirb--genome-
0.0118,--[9]--bridge--genome-
0.0117,--[2]--tnulb--genome-
0.0117,-genome--bridge--gatc--[5]--
0.0116,-genome--bridge--gatc--egdirb--genome--blunt--genome-
0.0116,--[2]--bridge--genome-
0.0116,-blunt--genome-
0.0116,-genome--bridge--gatc--egdirb--genome--bridge--genome-
0.0115,-genome--blunt--[4]--
0.0115,-egdirb--genome-
0.0115,--[5]--gatc--egdirb--genome-
0.0114,-genome--blunt-
0.0114,--[6]--bridge--genome-
0.0114,--[10]--bridge--genome-
0.0113,-genome--blunt--[1]--
0.0113,-bridge--gatc--genome--blunt--genome-
0.0112,--[9]--tnulb--genome-
0.0112,-bridge--gatc--genome--tnulb--genome-
0.0111,--[1]--tnulb--genome-
0.0111,-genome--bridge--gatc--[1]--
0.011,-bridge--genome--bridge--genome-
0.011,--[8]--egdirb--genome-
0.011,-genome--bridge--gatc--[4]--
0.0109,-genome--blunt--[2]--
0.0108,-genome--blunt--[8]--
0.0108,-genome--tnulb--genome--bridge--gatc--egdirb--genome-
0.0108,--[3]--tnulb--genome-
0.0107,-genome--bridge--gatc--egdirb--[5]--
0.0107,--[1]--bridge--genome-
0.0106,--[3]--bridge--genome-
0.0106,--[7]--tnulb--genome-
0.0105,--[4]--tnulb--genome-
0.0105,-genome--blunt--[11]--
0.0104,--[5]--blunt--genome-
0.0104,--[3]--gatc--egdirb--genome-
0.0104,-genome--blunt--[5]--
0.0103,-genome--bridge--gatc--egdirb--[7]--
0.0103,-genome--blunt--[9]--
0.0102,-genome--bridge--gatc--egdirb--[6]--
0.0102,-genome--bridge--gatc--[3]--
0.0101,--[5]--tnulb--genome-
0.01,-genome--bridge--gatc-
