count,mask
58.0849,-genome-
8.8078,-genome--bridge--gatc--egdirb--genome-
5.5983,-egdirb--bridge--genome-
3.4832,-egdirb--genome-
2.1105,-egdirb--bridge--gatc--genome-
1.0901,-genome--bridge--genome-
1.0346,-egdirb--bridge--gatc--egdirb--genome-
0.7144,-genome--egdirb--genome-
0.706,-bridge--gatc--egdirb--genome-
0.6732,-genome--bridge--gatc--genome-
0.4976,-bridge--genome-
0.463,-egdirb--genome--bridge--gatc--egdirb--genome-
0.405,-genome--gatc--egdirb--genome-
0.3768,-bridge--gatc--genome-
0.2901,--[6]--bridge--genome-
0.2027,-genome--bridge--[3]--
0.2021,-genome--bridge--[3]--egdirb--genome-
0.2019,-genome--bridge--gatc--egdirb--bridge--genome-
0.1991,--[6]--gatc--genome-
0.198,-genome--bridge-
0.1979,-genome--bridge--[2]--
0.197,-genome--bridge--[1]--
0.1959,-bridge--gatc--egdirb--bridge--gatc--egdirb--genome-
0.1844,-genome--bridge--gatc--[1]--
0.1815,-genome--bridge--gatc--[6]--
0.1805,-genome--bridge--gatc-
0.1795,-genome--bridge--gatc--[5]--
0.1792,-genome--bridge--gatc--egdirb--[3]--
0.1788,--[5]--gatc--genome-
0.1773,-genome--bridge--gatc--egdirb--[4]--
0.1768,-genome--bridge--gatc--[2]--
0.1763,--[4]--gatc--genome-
0.1746,-genome--bridge--gatc--[3]--
0.1743,-genome--bridge--gatc--egdirb--[6]--
0.1739,--[3]--gatc--genome-
0.1706,-genome--bridge--[4]--egdirb--genome-
0.1703,-genome--bridge--gatc--egdirb--[5]--
0.1701,-genome--bridge--gatc--egdirb-
0.17,-genome--bridge--gatc--egdirb--[1]--
0.1671,-genome--bridge--gatc--egdirb--[2]--
0.1666,--[1]--gatc--genome-
0.1661,-genome--bridge--gatc--egdirb--[7]--
0.1656,-genome--bridge--gatc--[4]--
0.1633,-genome--bridge--gatc--egdirb--[9]--
0.1623,-genome--bridge--gatc--egdirb--[10]--
0.161,--[7]--gatc--genome-
