Count %,Mask
33.9701,-genome-
30.2904,-genome--a-bridge--genome-
28.59,-genome--a-egdirb--genome-
2.6393,-genome--egdirb--genome-
0.4716,-genome--bridge--genome-
0.1596,-genome--a-bridge--[9]--
0.1583,-genome--a-bridge--[6]--
0.158,-genome--a-bridge--[7]--
0.155,-genome--a-bridge--[8]--
0.142,-genome--a-bridge--[10]--
0.1413,-genome--a-bridge--[5]--
0.1413,-genome--a-egdirb--[8]--
0.1406,-genome--a-egdirb--[10]--
0.1387,-genome--a-egdirb--[7]--
0.1362,-genome--a-egdirb--[9]--
0.1358,-genome--a-egdirb--[1]--
0.1344,-genome--a-bridge--[4]--
0.1335,-genome--a-egdirb--[6]--
0.1331,-genome--a-bridge--[3]--
0.1328,-genome--a-bridge--[1]--
0.1323,-genome--a-egdirb--[4]--
0.1314,-genome--a-bridge-
0.1314,-genome--a-bridge--[2]--
0.1277,-genome--a-egdirb--[5]--
0.1259,-genome--a-egdirb-
0.1228,-genome--a-egdirb--[2]--
0.1225,-genome--a-egdirb--[3]--
0.1104,--[1]--a-bridge--genome-
0.0751,-genome--a-bridge-a--genome-
0.0557,-genome--a-egdirb-a--genome-
0.0504,--[9]--a-egdirb--genome-
0.0402,--[2]--a-bridge--genome-
0.03,--[10]--a-egdirb--genome-
0.0179,-genome--bridge-a--genome-
0.0175,-genome--a-bridge--genome--a-bridge--genome-
0.0171,-genome--egdirb--[7]--
0.0168,-genome--a-bridge--genome--a-egdirb--genome-
0.0162,-genome--egdirb--[10]--
0.0162,-genome--egdirb-a--genome-
0.0155,-genome--egdirb--[6]--
0.0154,-genome--a-egdirb--genome--a-bridge--genome-
0.0147,-genome--egdirb--[9]--
0.0141,-genome--a-bridge--genome--bridge--genome-
0.0139,-genome--a-egdirb--genome--a-egdirb--genome-
0.0137,-genome--egdirb--[5]--
0.0133,-genome--egdirb--[8]--
0.0132,-genome--egdirb--[1]--
0.0132,-genome--egdirb--[3]--
0.013,-genome--egdirb-
0.013,-genome--a-bridge--genome--egdirb--genome-
0.013,-genome--egdirb--[2]--
0.013,-genome--a-egdirb--genome--bridge--genome-
0.0124,-genome--egdirb--genome--a-bridge--genome-
0.0117,-genome--egdirb--[4]--
0.0115,-genome--egdirb--genome--a-egdirb--genome-
0.0113,-genome--bridge--genome--a-bridge--genome-
0.0112,-genome--a-egdirb--genome--egdirb--genome-
0.0106,-egdirb--genome-
0.0103,--[4]--a-bridge--genome-
