Rate [%],Mask
13.909481076863052,-genome--[a]lin--ker[t]--genome--illumina--genome-
12.895044869293796,-genome--[a]rek--nil[t]--genome--illumina--genome-
7.6277799453765125,-lin--ker[t]--genome--illumina--genome-
5.872024970737417,-genome--[a]rek--nil--illumina--genome-
5.501365587202497,-genome--illumina--genome-
4.057744830277019,-genome--[a]lin--ker[t]--genome-
3.0823253999219666,-genome--[a]rek--nil[t]--genome-
2.3605150214592276,-lin--ker[t]--genome-
2.3214982442450256,-genome-
1.5021459227467813,-lin--genome--illumina--genome-
1.5021459227467813,-genome--[a]lin--genome--illumina--genome-
1.424112368318377,--[8]--ker[t]--genome--illumina--genome-
1.404603979711276,-genome--nil[t]--genome--illumina--genome-
1.3070620366757706,-rek--nil[t]--genome--illumina--genome-
1.2875536480686696,-genome--ker[t]--genome--illumina--genome-
0.9949278189621538,-genome--[a]rek--genome--illumina--genome-
0.9364026531408506,-genome--[a]rek--[8]--illumina--genome-
0.8388607101053454,-genome--nil--illumina--genome-
0.8193523214982443,--[7]--ker[t]--genome--illumina--genome-
0.721810378462739,-genome--[a]lin--ker--illumina--genome-
0.6437768240343348,--[6]--ker[t]--genome--illumina--genome-
0.5657432696059306,-genome--[a]rek--genome-
0.5462348809988296,--[8]--nil[t]--genome--illumina--genome-
0.4682013265704253,-genome--[a]rek--[7]--illumina--genome-
0.44869293796332427,--[8]--ker[t]--genome-
0.44869293796332427,-genome--[a]lin--genome-
0.44869293796332427,-lin--genome-
0.40967616074912216,-genome--nil[t]--genome-
0.40967616074912216,-genome--[a]rek--nil[t]--genome--illumina--[9]--
0.3901677721420211,-genome--ker[t]--genome-
0.37065938353492,--[6]--[a]lin--ker[t]--genome--illumina--genome-
0.351150994927819,--[5]--ker[t]--genome--illumina--genome-
0.3316426063207179,-genome--[a]lin--ker[t]--genome--illumina--[9]--
0.3121342177136169,-genome--[a]rek--nil--genome-
0.3121342177136169,--[8]--[a]lin--ker[t]--genome--illumina--genome-
0.3121342177136169,-genome--[a]rek--[6]--illumina--genome-
0.2926258291065158,--[1]--ker[t]--genome--illumina--genome-
0.2926258291065158,-genome--[a]lin--ker[t]--genome--illumina--[4]--
0.2731174404994148,-genome--[a]lin--ker[t]--genome--illumina--[2]--
0.2731174404994148,--[9]--[a]lin--ker[t]--genome--illumina--genome-
0.2731174404994148,-genome--[a]rek--[4]--illumina--genome-
0.2731174404994148,--[4]--ker[t]--genome--illumina--genome-
0.2731174404994148,-genome--[a]rek--[5]--illumina--genome-
0.2536090518923137,--[11]--[a]lin--ker[t]--genome--illumina--genome-
0.2536090518923137,--[7]--ker[t]--genome-
0.2536090518923137,-genome--[a]rek--nil[t]--genome--illumina--[4]--
0.23410066328521265,-genome--[a]lin--[8]--illumina--genome-
0.23410066328521265,--[1]--[a]lin--ker[t]--genome--illumina--genome-
0.23410066328521265,-genome--[a]rek--nil[t]--genome--illumina--[6]--
0.23410066328521265,-genome--[a]rek--nil[t]--[6]--illumina--genome-
0.2145922746781116,-genome--illumina--[9]--
0.2145922746781116,--[2]--ker[t]--genome--illumina--genome-
0.2145922746781116,-rek--nil[t]--genome-
0.19508388607101054,--[3]--[a]lin--ker[t]--genome--illumina--genome-
0.19508388607101054,--[2]--[a]lin--ker[t]--genome--illumina--genome-
0.19508388607101054,--[5]--[a]lin--ker[t]--genome--illumina--genome-
0.19508388607101054,-genome--[a]rek--nil[t]--[4]--illumina--genome-
0.19508388607101054,--[11]--[a]rek--nil[t]--genome--illumina--genome-
0.19508388607101054,--[8]--[a]rek--nil[t]--genome--illumina--genome-
0.1755754974639095,-genome--[a]lin--ker[t]--[7]--illumina--genome-
0.1755754974639095,-genome--[a]rek--nil--illumina--[6]--
0.1755754974639095,-genome--[a]rek--nil[t]--[7]--illumina--genome-
0.1755754974639095,--[4]--nil[t]--genome--illumina--genome-
0.1755754974639095,-genome--[a]rek--nil--illumina--[9]--
0.1755754974639095,--[3]--[a]rek--nil[t]--genome--illumina--genome-
0.1755754974639095,-lin--ker[t]--genome--illumina--[4]--
0.15606710885680844,--[7]--[a]lin--ker[t]--genome--illumina--genome-
0.15606710885680844,-genome--[a]rek--[1]--illumina--genome-
0.15606710885680844,--[9]--[a]rek--nil[t]--genome--illumina--genome-
0.15606710885680844,-genome--[a]rek--nil[t]--[2]--illumina--genome-
0.15606710885680844,-[a]lin--ker[t]--genome--illumina--genome-
0.15606710885680844,-genome--[a]rek--nil[t]--genome--illumina--[8]--
0.15606710885680844,-genome--[a]rek--nil--[4]--
0.15606710885680844,-lin--ker[t]--genome--illumina--[6]--
0.15606710885680844,-rek--genome--illumina--genome-
0.15606710885680844,-lin--ker[t]--genome--illumina--[9]--
0.1365587202497074,-genome--[a]rek--[3]--illumina--genome-
0.1365587202497074,--[8]--nil[t]--genome-
0.1365587202497074,--[5]--[a]rek--nil[t]--genome--illumina--genome-
0.1365587202497074,-genome--[a]lin--[6]--illumina--genome-
0.1365587202497074,--[4]--[a]lin--ker[t]--genome--illumina--genome-
0.1365587202497074,--[10]--[a]lin--ker[t]--genome--illumina--genome-
0.1365587202497074,-genome--[a]rek--nil[t]--[5]--illumina--genome-
0.1365587202497074,-genome--[a]rek--nil[t]--[1]--illumina--genome-
0.1365587202497074,--[3]--ker[t]--genome--illumina--genome-
0.1365587202497074,--[7]--nil[t]--genome--illumina--genome-
0.1365587202497074,--[2]--[a]rek--nil[t]--genome--illumina--genome-
0.1365587202497074,-genome--[a]rek--nil[t]--[3]--illumina--genome-
0.11705033164260632,-genome--[a]lin--ker[t]--[11]--illumina--genome-
0.11705033164260632,--[6]--nil[t]--genome--illumina--genome-
0.11705033164260632,-genome--[a]rek--nil[t]--[8]--illumina--genome-
0.11705033164260632,-genome--nil[t]--genome--illumina--[9]--
0.11705033164260632,-genome--[a]lin--ker[t]--[10]--illumina--genome-
0.11705033164260632,--[8]--ker[t]--genome--illumina--[9]--
0.11705033164260632,--[7]--[a]lin--ker[t]--genome-
0.11705033164260632,-ker[t]--genome--illumina--genome-
0.11705033164260632,-genome--[a]rek--[2]--illumina--genome-
0.11705033164260632,-genome--[a]lin--[5]--illumina--genome-
0.11705033164260632,--[4]--[a]rek--nil[t]--genome--illumina--genome-
0.09754194303550527,-genome--[a]lin--ker[t]--[8]--illumina--genome-
0.09754194303550527,-genome--[a]lin--ker[t]--genome--illumina--[1]--
0.09754194303550527,-genome--[a]rek--illumina--genome-
0.09754194303550527,--[5]--ker[t]--genome-
0.09754194303550527,-genome--[a]rek--nil[t]--genome--[a]lin--ker[t]--genome--illumina--genome-
0.09754194303550527,-genome--lin--ker[t]--genome--illumina--genome-
0.09754194303550527,-genome--[a]rek--nil--[3]--
0.09754194303550527,--[1]--[a]rek--nil[t]--genome--illumina--genome-
0.09754194303550527,-genome--[a]lin--ker[t]--genome--[a]lin--ker[t]--genome--illumina--genome-
0.09754194303550527,-genome--[a]rek--nil[t]--genome--illumina--[2]--
0.09754194303550527,-genome--[a]rek--nil--illumina--[4]--
0.09754194303550527,--[5]--nil[t]--genome--illumina--genome-
0.09754194303550527,--[6]--[a]rek--nil[t]--genome--illumina--genome-
0.09754194303550527,-lin--ker[t]--genome--nil--illumina--genome-
0.09754194303550527,-genome--[a]lin--ker[t]--genome--illumina--[6]--
0.07803355442840422,-genome--illumina--[8]--
0.07803355442840422,--[10]--[a]lin--ker[t]--genome-
0.07803355442840422,-genome--[a]lin--[3]--illumina--genome-
0.07803355442840422,-genome--illumina--[4]--
0.07803355442840422,--[4]--ker[t]--genome-
0.07803355442840422,-genome--rek--nil[t]--genome--illumina--genome-
0.07803355442840422,-genome--[a]lin--[2]--illumina--genome-
0.07803355442840422,--[3]--ker[t]--genome-
0.07803355442840422,-genome--[a]rek--nil[t]--[11]--illumina--genome-
0.07803355442840422,--[6]--[a]lin--ker[t]--genome-
0.07803355442840422,-genome--[a]rek--nil--genome--illumina--genome-
0.07803355442840422,-genome--rek--genome-
0.07803355442840422,--[9]--ker[t]--genome--illumina--genome-
0.07803355442840422,-lin--ker[t]--genome--illumina--[8]--
0.07803355442840422,-lin--ker[t]--genome--illumina--[1]--
0.07803355442840422,-genome--[a]rek--[9]--illumina--genome-
0.07803355442840422,-genome--[a]rek--nil[t]--genome--illumina-
0.07803355442840422,-genome--[a]lin--ker[t]--genome--illumina-
0.07803355442840422,--[2]--ker[t]--genome-
0.07803355442840422,-genome--[a]lin--ker--illumina--[9]--
0.05852516582130316,--[2]--nil[t]--genome--illumina--genome-
0.05852516582130316,--[6]--[a]rek--nil[t]--genome-
0.05852516582130316,--[7]--ker[t]--genome--illumina--[9]--
0.05852516582130316,-genome--[a]lin--ker[t]--genome--[a]lin--ker[t]--genome-
0.05852516582130316,-genome--[a]lin--ker[t]--genome--illumina--[8]--
0.05852516582130316,-genome--[a]lin--ker[t]--illumina--genome-
0.05852516582130316,--[8]--[a]lin--ker[t]--genome-
0.05852516582130316,-genome--ker[t]--genome--illumina--[9]--
0.05852516582130316,-genome--[a]rek--nil[t]--[10]--illumina--genome-
0.05852516582130316,-genome--[a]lin--[7]--illumina--genome-
0.05852516582130316,-genome--[a]lin--[4]--illumina--genome-
0.05852516582130316,-genome--[a]rek--[5]--
0.05852516582130316,-genome--[a]lin--ker[t]--genome--[a]rek--nil[t]--genome--illumina--genome-
0.05852516582130316,--[4]--[a]lin--ker[t]--genome-
0.05852516582130316,-genome--illumina-
0.05852516582130316,-lin--ker[t]--genome--illumina-
0.05852516582130316,-genome--rek--nil--illumina--genome-
0.05852516582130316,-[a]lin--ker[t]--genome-
0.05852516582130316,-genome--[a]rek--nil--illumina--[2]--
0.05852516582130316,-lin--ker[t]--genome--[a]rek--nil[t]--genome--illumina--genome-
0.05852516582130316,--[3]--[a]rek--nil[t]--genome-
0.05852516582130316,-genome--[a]rek--nil[t]--illumina--genome-
0.05852516582130316,--[10]--[a]rek--nil[t]--genome--illumina--genome-
0.05852516582130316,-genome--illumina--[2]--
0.05852516582130316,-genome--ker--illumina--genome-
0.05852516582130316,-[a]rek--nil[t]--genome--illumina--genome-
0.03901677721420211,--[1]--ker[t]--genome-
0.03901677721420211,--[7]--[a]rek--nil[t]--genome--illumina--genome-
