Rate [%],Mask
19.192403387431806,-genome-
7.545090213035156,-genome--bridge-gatc--egdirb--genome-
6.617687820180459,-genome--a-bridge-gatc--egdirb--genome-
6.209422069176914,-genome--bridge--gatc-egdirb-t--genome-
3.396236259346579,-genome--a-bridge-gatc--egdirb-t--genome-
2.2112220906989104,-bridge-gatc--genome-
2.207961182144569,-genome--gatc-egdirb--genome-
2.04817666298184,-egdirb--bridge-gatc--egdirb--genome-
1.939588408122271,-genome--bridge-gatc--genome-
1.8942617792169254,-genome--bridge-gatc--egdirb--bridge-
1.7762168895497663,-genome--gatc-egdirb-
1.6536067279065292,-egdirb--bridge--gatc-egdirb-t--genome-
1.6441500930989392,-genome--egdirb--genome-
1.5841493756990572,-genome--gatc-egdirb--bridge-
1.562627379240404,-genome--a-bridge-gatc--egdirb--bridge-
1.4481694889830203,-genome--bridge--genome-
1.4191474028493818,-egdirb--bridge-gatc--genome-
1.3966471338244262,-genome--gatc-egdirb-t--genome-
1.3281680541832566,-genome--a-bridge-gatc--genome-
0.8142488660190502,-genome--bridge-gatc--egdirb-
0.7787049627767288,-bridge-gatc--egdirb--genome-
0.5859852672151514,-genome--a-bridge-gatc--egdirb-
0.5435934560087131,-bridge--gatc-egdirb-t--genome-
0.4141353864013591,-genome--egdirb--bridge-gatc--egdirb--genome-
0.38870029967749614,-genome--bridge-gatc--egdirb--bridge-gatc--genome-
0.38576548197858884,-genome--gatc-egdirb--bridge-gatc--egdirb--genome-
0.3564173049895162,-genome--egdirb-t--genome-
0.3254386737232728,-genome--egdirb--bridge-
0.30456885897548774,-genome--egdirb--bridge--gatc-egdirb-t--genome-
0.3042427681200536,-genome--gatc-egdirb--bridge--gatc-egdirb-t--genome-
0.28630777107117583,-genome--a-bridge-gatc--egdirb--bridge-gatc--genome-
0.28500340764943927,-genome--a-bridge--genome-
0.2647857746125225,-genome--bridge-gatc--egdirb--bridge--genome-
0.24293768729843507,-genome--bridge-gatc--egdirb--[6]--
0.22924187137020116,--[6]--bridge-gatc--egdirb--genome-
0.2201113274180452,-genome--a-bridge-gatc--egdirb--bridge--genome-
0.21261123774305996,-genome--egdirb-
0.20837205662241612,-genome--a-bridge-gatc--egdirb--[6]--
0.20511114806807473,-genome--bridge-
0.20445896635720645,-genome--bridge--[4]--egdirb--genome-
0.1992415126702602,-egdirb--genome-
0.17934997048877757,-blunt--genome-
0.1747846985126996,-egdirb--bridge--genome-
0.17217597166922646,-bridge--genome-
0.1676106996931485,--[6]--bridge--gatc-egdirb-t--genome-
0.15978451916272912,-genome--gatc-egdirb--[6]--
0.15913233745186084,-genome--a-bridge--[4]--egdirb--genome-
0.1532627020540463,-genome--bridge--[4]--egdirb-t--genome-
0.15293661119861215,-genome--bridge-gatc--egdirb--[7]--
0.14641479408992933,-genome--gatc-egdirb--bridge-gatc--genome-
0.1398929769812465,-genome--bridge-gatc--egdirb--genome--bridge--genome-
0.1398929769812465,-genome--gatc-egdirb--[7]--
0.13956688612581236,-genome--bridge-gatc--egdirb--blunt--genome-
0.13858861355950994,-genome--tnulb-
