Rate [%],Mask
51.59475990719693,-genome-
4.117550561271121,-genome--a-bridge-gatc--egdirb-t--genome-
3.4473061329708705,-genome--bridge--gatc-egdirb-t--genome-
3.409809941177849,-genome--a-bridge-gatc--egdirb--genome-
3.1192144547819365,-genome--bridge-gatc--egdirb--genome-
2.9411075437650864,-genome--a-bridge-gatc--genome-
2.4630310984040684,-genome--bridge-gatc--genome-
1.8232523259356472,-genome--gatc-egdirb-t--genome-
1.385015584354714,-genome--gatc-egdirb--genome-
1.1787865294930984,-genome--bridge--genome-
1.0616109301399077,-genome--egdirb--genome-
0.6655574043261232,-genome--egdirb-t--genome-
0.5694734128565068,-genome--a-bridge--genome-
0.3163741182536149,--[6]--gatc-egdirb-t--genome-
0.29293899838297677,-bridge--gatc-egdirb-t--genome-
0.28356495043472146,-genome--a-bridge-gatc--egdirb-
0.26481685453821097,-egdirb--genome-
0.2554428065899557,--[6]--gatc-egdirb--genome-
0.25309929460289193,-bridge-gatc--genome-
0.25309929460289193,-bridge-gatc--egdirb--genome-
0.23903822268050903,-egdirb-t--genome-
0.23200768671931757,-genome--bridge--bridge--gatc-egdirb-t--genome-
0.22263363877106232,-egdirb--bridge-gatc--genome-
0.21091607883574326,-genome--bridge-gatc--egdirb-
0.18279393499097749,-genome--egdirb--bridge-gatc--genome-
0.18045042300391367,--[3]--gatc-egdirb--genome-
0.18045042300391367,-genome--bridge-gatc--[6]--
0.17810691101684986,-genome--a-bridge--bridge--gatc-egdirb-t--genome-
0.17576339902978605,-genome--a-bridge-gatc--egdirb--bridge--genome-
0.17576339902978605,--[3]--gatc-egdirb-t--genome-
0.17341988704272224,-genome--a-bridge-gatc--[6]--
0.1663893510815308,-genome--bridge--bridge-gatc--egdirb--genome-
0.16170232710740315,-genome--gatc-egdirb-
0.1499847671720841,-genome--bridge-gatc--egdirb--bridge--genome-
0.1499847671720841,-genome--egdirb--bridge--gatc-egdirb-t--genome-
0.14764125518502028,-genome--gatc-egdirb--bridge-
0.14529774319795646,-genome--a-bridge-gatc--[4]--
0.14529774319795646,-genome--a-bridge--bridge-gatc--egdirb--genome-
0.14061071922382884,-bridge--genome-
0.12889315928850978,-genome--a-bridge-gatc--egdirb--egdirb-t--genome-
0.12889315928850978,-genome--bridge-gatc--egdirb--egdirb-t--genome-
0.11717559935319069,-genome--egdirb--bridge-gatc--egdirb--genome-
0.11483208736612688,-genome--bridge--bridge-gatc--genome-
0.11248857537906307,-genome--a-bridge-gatc--egdirb--egdirb--genome-
0.10780155140493544,-genome--a-bridge-gatc--[3]--
0.10545803941787163,-genome--bridge-gatc--[3]--
0.10311452743080782,--[2]--gatc-egdirb-t--genome-
0.10311452743080782,-egdirb--bridge--gatc-egdirb-t--genome-
0.100771015443744,-egdirb--bridge-gatc--egdirb--genome-
0.09842750345668018,--[4]--gatc-egdirb--genome-
0.09608399146961637,-genome--bridge-gatc--egdirb--egdirb--genome-
0.09608399146961637,-egdirb--bridge--genome-
0.09374047948255256,--[5]--gatc-egdirb--genome-
0.09139696749548874,--[5]--gatc-egdirb-t--genome-
0.09139696749548874,-genome--egdirb-
0.08670994352136112,--[2]--egdirb--genome-
0.08670994352136112,--[4]--gatc-egdirb-t--genome-
0.0843664315342973,-genome--bridge-gatc--[6]--egdirb-t--genome-
0.07967940756016967,-genome--a-bridge-gatc--[5]--
0.07967940756016967,-genome--gatc-egdirb--bridge--genome-
0.07967940756016967,-genome--bridge-gatc--[4]--
0.07733589557310586,--[3]--egdirb--genome-
0.07264887159897823,-genome--bridge--[6]--gatc-egdirb-t--genome-
0.07264887159897823,-genome--bridge--[2]--egdirb--genome-
0.07030535961191442,--[2]--gatc-egdirb--genome-
0.07030535961191442,-genome--egdirb--bridge--genome-
0.0656183356377868,--[6]--bridge--gatc-egdirb-t--genome-
0.06327482365072298,-genome--a-bridge--bridge-gatc--genome-
0.06327482365072298,-genome--a-bridge-gatc--egdirb--[3]--
0.060931311663659164,-genome--a-bridge-gatc--egdirb--bridge-
0.060931311663659164,--[2]--egdirb-t--genome-
0.060931311663659164,-genome--a-bridge--[2]--egdirb--genome-
0.058587799676595345,--[3]--egdirb-t--genome-
0.05624428768953153,-genome--bridge-gatc--egdirb--bridge-
0.05390077570246772,-genome--a-bridge--[3]--
0.05390077570246772,-genome--bridge-gatc--[5]--
0.05390077570246772,-genome--a-bridge-gatc--egdirb--[6]--
0.05390077570246772,-genome--a-bridge-gatc--egdirb--[1]--
0.05390077570246772,-genome--a-bridge--[4]--egdirb-t--genome-
0.05390077570246772,-genome--a-bridge-gatc--egdirb-t--[2]--
0.05155726371540391,-genome--a-bridge-gatc--egdirb-t--[10]--
0.05155726371540391,--[8]--a-bridge-gatc--genome-
0.05155726371540391,-genome--bridge--[2]--egdirb-t--genome-
0.04921375172834009,--[1]--gatc-egdirb-t--genome-
0.04921375172834009,-genome--gatc-egdirb--egdirb--genome-
0.04921375172834009,-genome--egdirb--[6]--
0.04921375172834009,-genome--a-bridge--[2]--
0.04921375172834009,--[1]--bridge--gatc-egdirb-t--genome-
0.04921375172834009,--[6]--bridge-gatc--genome-
0.04921375172834009,-egdirb-t--genome--bridge-gatc--egdirb--genome-
0.04921375172834009,-genome--bridge--gatc-egdirb-t--[5]--
0.04921375172834009,-genome--gatc-egdirb--egdirb-t--genome-
0.04687023974127628,--[6]--a-bridge-gatc--egdirb--genome-
0.04687023974127628,-genome--a-bridge-gatc--genome--bridge--genome-
0.04687023974127628,-gatc-egdirb-t--genome-
0.04687023974127628,-genome--a-bridge-gatc--[2]--
0.04687023974127628,-genome--bridge-gatc--[2]--
0.04687023974127628,-genome--a-bridge-gatc--egdirb-t--[12]--
0.044526727754212465,-genome--a-bridge--[6]--
0.044526727754212465,--[2]--a-bridge-gatc--egdirb--genome-
0.044526727754212465,-genome--bridge--gatc-egdirb-t--[12]--
0.044526727754212465,-genome--a-bridge-gatc--egdirb-t--[3]--
0.044526727754212465,--[3]--bridge-gatc--egdirb--genome-
0.04218321576714865,--[3]--bridge--gatc-egdirb-t--genome-
0.04218321576714865,--[6]--bridge-gatc--egdirb--genome-
0.04218321576714865,-genome--a-bridge-gatc--[1]--
0.04218321576714865,-genome--bridge--[4]--egdirb-t--genome-
0.04218321576714865,--[6]--egdirb-t--genome-
0.04218321576714865,-genome--bridge--[6]--
0.04218321576714865,-genome--bridge--[3]--
0.04218321576714865,-genome--a-bridge-gatc--egdirb-t--[4]--
0.04218321576714865,-genome--a-bridge-gatc--egdirb-t--[8]--
0.039839703780084834,-genome--a-bridge-gatc--egdirb-t-
0.039839703780084834,-egdirb-t--genome--a-bridge-gatc--egdirb-t--genome-
0.039839703780084834,-genome--a-bridge-gatc--[6]--bridge--genome-
0.039839703780084834,-genome--a-bridge-gatc--[4]--a-bridge--genome-
0.039839703780084834,--[8]--a-bridge-gatc--egdirb--genome-
0.039839703780084834,-genome--a-bridge-gatc--egdirb--[10]--
0.039839703780084834,-genome--egdirb--bridge-
0.039839703780084834,-genome--a-bridge-gatc--[12]--
0.039839703780084834,--[3]--bridge-gatc--genome-
0.039839703780084834,-genome--a-bridge-gatc--egdirb--[7]--
0.039839703780084834,-genome--a-bridge-gatc--egdirb--[11]--
0.039839703780084834,-genome--bridge--gatc-egdirb-t--[10]--
0.039839703780084834,-egdirb--genome--bridge--gatc-egdirb-t--genome-
0.039839703780084834,--[5]--a-bridge-gatc--genome-
0.03749619179302102,-genome--bridge-gatc--egdirb--[5]--
0.03749619179302102,--[2]--bridge--gatc-egdirb-t--genome-
0.03749619179302102,-genome--bridge-gatc--egdirb--[6]--
0.03749619179302102,--[3]--a-bridge-gatc--egdirb-t--genome-
0.03749619179302102,-genome--a-bridge--[4]--egdirb--genome-
0.03749619179302102,--[5]--a-bridge-gatc--egdirb-t--genome-
0.03749619179302102,-genome--egdirb--genome--gatc-egdirb-t--genome-
0.03749619179302102,-genome--a-bridge--[2]--egdirb-t--genome-
0.03749619179302102,--[1]--bridge-gatc--egdirb--genome-
0.03749619179302102,--[3]--a-bridge-gatc--genome-
0.03749619179302102,--[9]--bridge--gatc-egdirb-t--genome-
0.03515267980595721,--[4]--bridge-gatc--genome-
0.03515267980595721,-genome--bridge-gatc--egdirb--[1]--
0.03515267980595721,-genome--bridge-gatc--egdirb--[4]--
0.03515267980595721,-genome--bridge--[4]--
0.03515267980595721,--[4]--a-bridge-gatc--egdirb-t--genome-
0.03515267980595721,-gatc-egdirb--genome-
0.03515267980595721,--[10]--bridge--gatc-egdirb-t--genome-
0.03515267980595721,-egdirb--genome--a-bridge-gatc--genome-
