Pattern	K562_Banaszak	K562_Belaghzal	K562_Dixon	K562_Moquin	K562_Rao	K562_Ray	K562_Wang	K562_Zhou	Count	AND_Count	Libs
11111111	1	1	1	1	1	1	1	1	75328	75328	8
01111111	0	1	1	1	1	1	1	1	588253	663581	7
10111111	1	0	1	1	1	1	1	1	34015	109343	7
11111101	1	1	1	1	1	1	0	1	16946	92274	7
11111011	1	1	1	1	1	0	1	1	13732	89060	7
11101111	1	1	1	0	1	1	1	1	5068	80396	7
11110111	1	1	1	1	0	1	1	1	64	75392	7
11111110	1	1	1	1	1	1	1	0	41	75369	7
11011111	1	1	0	1	1	1	1	1	38	75366	7
00111111	0	0	1	1	1	1	1	1	393735	1091331	6
01111101	0	1	1	1	1	1	0	1	138800	819327	6
01111011	0	1	1	1	1	0	1	1	102245	779558	6
01101111	0	1	1	0	1	1	1	1	47007	715656	6
10111011	1	0	1	1	1	0	1	1	23285	146360	6
11111001	1	1	1	1	1	0	0	1	16213	122219	6
10111101	1	0	1	1	1	1	0	1	13040	139329	6
10101111	1	0	1	0	1	1	1	1	6206	120617	6
11101011	1	1	1	0	1	0	1	1	3796	97924	6
11101101	1	1	1	0	1	1	0	1	3458	100800	6
01011111	0	1	0	1	1	1	1	1	359	663978	6
01110111	0	1	1	1	0	1	1	1	250	663895	6
01111110	0	1	1	1	1	1	1	0	152	663774	6
11111100	1	1	1	1	1	1	0	0	149	92464	6
11110011	1	1	1	1	0	0	1	1	107	89231	6
10110111	1	0	1	1	0	1	1	1	79	109486	6
10011111	1	0	0	1	1	1	1	1	69	109450	6
11011101	1	1	0	1	1	1	0	1	52	92364	6
10111110	1	0	1	1	1	1	1	0	37	109421	6
11011011	1	1	0	1	1	0	1	1	36	89134	6
11110101	1	1	1	1	0	1	0	1	32	92370	6
11111010	1	1	1	1	1	0	1	0	20	89121	6
11010111	1	1	0	1	0	1	1	1	14	75444	6
11101110	1	1	1	0	1	1	1	0	13	80450	6
11110110	1	1	1	1	0	1	1	0	8	75441	6
11100111	1	1	1	0	0	1	1	1	6	80466	6
11001111	1	1	0	0	1	1	1	1	5	80439	6
11011110	1	1	0	1	1	1	1	0	4	75411	6
00111011	0	0	1	1	1	0	1	1	267014	1497607	5
00111101	0	0	1	1	1	1	0	1	155532	1415649	5
01111001	0	1	1	1	1	0	0	1	113148	1064665	5
00101111	0	0	1	0	1	1	1	1	77967	1227579	5
01101011	0	1	1	0	1	0	1	1	33567	868996	5
01101101	0	1	1	0	1	1	0	1	31381	906241	5
10101011	1	0	1	0	1	0	1	1	25691	187121	5
10111001	1	0	1	1	1	0	0	1	21895	214454	5
11101001	1	1	1	0	1	0	0	1	15241	149782	5
10101101	1	0	1	0	1	1	0	1	4788	158849	5
00011111	0	0	0	1	1	1	1	1	1050	1092847	5
00110111	0	0	1	1	0	1	1	1	990	1092714	5
01011101	0	1	0	1	1	1	0	1	582	820358	5
10110011	1	0	1	1	0	0	1	1	537	147147	5
01111100	0	1	1	1	1	1	0	0	446	820115	5
01110011	0	1	1	1	0	0	1	1	436	780415	5
01011011	0	1	0	1	1	0	1	1	346	780337	5
11111000	1	1	1	1	1	0	0	0	302	122731	5
00111110	0	0	1	1	1	1	1	0	275	1091836	5
10111100	1	0	1	1	1	1	0	0	250	139806	5
01001111	0	1	0	0	1	1	1	1	247	716305	5
10100111	1	0	1	0	0	1	1	1	240	121006	5
01111010	0	1	1	1	1	0	1	0	161	779932	5
01110101	0	1	1	1	0	1	0	1	132	819805	5
11110001	1	1	1	1	0	0	0	1	107	122529	5
01100111	0	1	1	0	0	1	1	1	103	716079	5
10011101	1	0	0	1	1	1	0	1	97	139585	5
10011011	1	0	0	1	1	0	1	1	83	146586	5
11011001	1	1	0	1	1	0	0	1	80	122425	5
11100011	1	1	1	0	0	0	1	1	61	98162	5
01011110	0	1	0	1	1	1	1	0	55	664230	5
10110101	1	0	1	1	0	1	0	1	52	139556	5
01101110	0	1	1	0	1	1	1	0	51	715913	5
10111010	1	0	1	1	1	0	1	0	47	146505	5
11101100	1	1	1	0	1	1	0	0	45	101048	5
10001111	1	0	0	0	1	1	1	1	44	120773	5
01010111	0	1	0	1	0	1	1	1	39	664345	5
11001011	1	1	0	0	1	0	1	1	31	98034	5
11001101	1	1	0	0	1	1	0	1	30	100925	5
10010111	1	0	0	1	0	1	1	1	21	109628	5
11100101	1	1	1	0	0	1	0	1	21	100923	5
01110110	0	1	1	1	0	1	1	0	20	664116	5
11011100	1	1	0	1	1	1	0	0	20	92578	5
11010101	1	1	0	1	0	1	0	1	18	92492	5
11101010	1	1	1	0	1	0	1	0	18	98016	5
11110100	1	1	1	1	0	1	0	0	18	92586	5
10011110	1	0	0	1	1	1	1	0	15	109547	5
10101110	1	0	1	0	1	1	1	0	15	120723	5
11011010	1	1	0	1	1	0	1	0	13	89212	5
11010011	1	1	0	1	0	0	1	1	8	89327	5
11010110	1	1	0	1	0	1	1	0	8	75505	5
10110110	1	0	1	1	0	1	1	0	6	109578	5
11000111	1	1	0	0	0	1	1	1	6	80529	5
11110010	1	1	1	1	0	0	1	0	5	89305	5
11001110	1	1	0	0	1	1	1	0	4	80501	5
11100110	1	1	1	0	0	1	1	0	4	80532	5
00101011	0	0	1	0	1	0	1	1	298820	1995729	4
00111001	0	0	1	1	1	0	0	1	252402	2225583	4
01101001	0	1	1	0	1	0	0	1	136258	1340441	4
00101101	0	0	1	0	1	1	0	1	69532	1661056	4
