Rate [%],Mask
35.76832779823087,-genome-
4.830184258078471,-genome--a-bridge-gatc--egdirb-t--genome-
4.088014888449285,-genome--bridge--gatc-egdirb-t--genome-
4.069539512520446,-genome--a-bridge-gatc--genome-
4.056471563692732,-genome--a-bridge-gatc--egdirb--genome-
3.573858694917469,-genome--bridge-gatc--egdirb--genome-
3.1552337135054995,-genome--bridge-gatc--genome-
2.0205752601197746,-genome--gatc-egdirb-t--genome-
1.7091975828800858,-genome--egdirb--genome-
1.6109626572096774,-genome--bridge--genome-
1.5794193324531243,-genome--gatc-egdirb--genome-
0.9773924485280533,-genome--egdirb-t--genome-
0.8205770625954748,-genome--a-bridge--genome-
0.7624472212583984,-egdirb--genome-
0.7187371855243176,-egdirb-t--genome-
0.6885457175430454,-genome--illumina--genome-
0.3140813907902504,--[6]--gatc-egdirb-t--genome-
0.2861430174344462,-bridge--gatc-egdirb-t--genome-
0.27352568753182493,-genome--a-bridge--bridge--gatc-egdirb-t--genome-
0.2721738307565441,-egdirb--bridge-gatc--genome-
0.25730340622845477,-bridge-gatc--genome-
0.24874164665167606,--[6]--gatc-egdirb--genome-
0.24874164665167606,-genome--bridge--bridge--gatc-egdirb-t--genome-
0.23387122212358674,-genome--egdirb--bridge-gatc--genome-
0.22576008147190166,-genome--a-bridge--bridge-gatc--egdirb--genome-
0.22576008147190166,-bridge-gatc--egdirb--genome-
0.2081859433932506,-genome--bridge--bridge-gatc--egdirb--genome-
0.20548222984268893,-genome--a-bridge-gatc--egdirb-t--genome--illumina--genome-
0.1991735648913783,-genome--a-bridge-gatc--egdirb--bridge--genome-
0.18114880788763366,-egdirb--bridge--genome-
0.1793463321872592,-genome--bridge-gatc--egdirb--bridge--genome-
0.17799447541197835,-genome--bridge--gatc-egdirb-t--genome--illumina--genome-
0.17754385648688473,--[3]--gatc-egdirb-t--genome-
0.1766426186366975,-genome--egdirb--bridge--gatc-egdirb-t--genome-
0.1649265265842635,-genome--bridge-gatc--egdirb--genome--illumina--genome-
0.16402528873407624,-genome--a-bridge-gatc--egdirb--genome--illumina--genome-
0.163124050883889,-bridge--genome-
0.15321043453182948,-genome--a-bridge-gatc--egdirb--egdirb-t--genome-
0.15095733990636137,-genome--bridge-gatc--egdirb--egdirb--genome-
0.1432968181797699,--[3]--gatc-egdirb--genome-
0.14194496140448906,-genome--bridge-gatc--egdirb--egdirb-t--genome-
0.13924124785392736,-genome--a-bridge--[3]--
0.13563629645317843,-genome--a-bridge--[1]--
0.13338320182771035,-genome--a-bridge-gatc--egdirb--egdirb--genome-
0.13338320182771035,-genome--a-bridge--[2]--
0.12977825042696142,-genome--egdirb--bridge--genome-
0.12842639365168057,-genome--a-bridge-gatc--[5]--
0.12842639365168057,-genome--a-bridge-
0.12707453687639972,-genome--egdirb--bridge-gatc--egdirb--genome-
0.12707453687639972,-genome--a-bridge-gatc--genome--illumina--genome-
0.12662391795130612,-genome--gatc-egdirb--bridge--genome-
0.1257226801011189,-genome--a-bridge-gatc--[6]--
0.12527206117602527,-genome--bridge--[2]--
0.12166710977527634,-egdirb--bridge--gatc-egdirb-t--genome-
0.12031525299999549,-egdirb--bridge-gatc--egdirb--genome-
0.11941401514980826,-genome--a-bridge-gatc--[4]--
0.11445720697377848,-genome--bridge--[3]--
0.11445720697377848,-genome--bridge--[1]--
0.11400658804868487,-genome--bridge-
0.11400658804868487,-genome--bridge-gatc--genome--illumina--genome-
0.11355596912359125,-genome--bridge--bridge-gatc--genome-
0.11175349342321679,-genome--bridge-gatc--[6]--
0.10995101772284233,-genome--bridge-gatc--[2]--
