Rate [%],Mask
96.88533877867592,-genome-
1.116436613061551,-genome--egdirb--genome-
1.0169874086551862,-genome--bridge--genome-
0.0436273737532872,-genome--illumina--genome-
0.03385665983979059,--[6]--bridge--genome-
0.03279627228328708,--[2]--egdirb--genome-
0.03037252929699335,-genome--egdirb--[9]--
0.03014530339202831,--[4]--egdirb--genome-
0.029615109613776558,--[1]--egdirb--genome-
0.02749433450076954,--[5]--egdirb--genome-
0.026964140722517786,--[9]--bridge--genome-
0.026736914817552748,--[6]--egdirb--genome-
0.024540397736224052,-genome--egdirb--[4]--
0.02393446198965062,-genome--bridge--[8]--
0.0236314941163639,--[4]--bridge--genome-
0.023480010179720543,-genome--bridge--[9]--
0.023404268211398866,-genome--egdirb--[7]--
0.022722590496503752,-genome--bridge--[6]--
0.021359235066713528,-genome--bridge--[3]--
0.021283493098391847,-genome--egdirb-
0.021283493098391847,-genome--bridge--[2]--
0.021207751130070167,--[1]--bridge--genome-
0.020980525225105132,--[5]--bridge--genome-
0.020753299320140094,-genome--bridge--[4]--
0.020223105541888338,-genome--bridge--[7]--
0.0199958796369233,-genome--egdirb--[6]--
0.019920137668601623,-genome--bridge--[1]--
0.01938994389034987,-genome--egdirb--[3]--
0.01923845995370651,-egdirb--genome-
0.01908697601706315,-genome--bridge--[5]--
0.018708266175454756,-genome--bridge-
0.018178072397203003,-genome--egdirb--[5]--
0.018026588460559642,-genome--egdirb--[2]--
0.01749639468230789,--[9]--egdirb--genome-
0.01734491074566453,--[2]--bridge--genome-
0.017041942872377813,-genome--egdirb--[1]--
0.016738974999091098,-genome--egdirb--[8]--
0.016738974999091098,--[7]--egdirb--genome-
0.015148393664335834,--[3]--egdirb--genome-
0.014996909727692477,-bridge--genome-
0.014390973981119043,--[3]--bridge--genome-
0.014315232012797365,--[8]--egdirb--genome-
0.014239490044475684,--[7]--bridge--genome-
0.014163748076154005,--[8]--bridge--genome-
