Rate [%],Mask
67.58325547946745,-genome-
12.802707067204741,-lin--ker[t]--genome-
1.5435933491930487,--[8]--ker[t]--genome-
1.4861259595288316,-lin--genome-
0.7852806431210893,-genome--[a]lin--ker[t]--genome-
0.7101556756270848,--[7]--ker[t]--genome-
0.6632828326607402,-genome--[a]rek--nil[t]--genome-
0.5355061785470061,-lin--ker--genome-
0.5255537255883986,-rek--nil[t]--genome-
0.4093347587814345,-genome--lin--ker[t]--genome-
0.4086926650421695,-rek--nil--lin--ker[t]--genome-
0.33902549433191753,-rek--nil--genome-
0.31847849467543765,--[5]--ker[t]--genome-
0.3098102291953602,--[6]--ker[t]--genome-
0.3046734792812403,-lin--ker--lin--ker[t]--genome-
0.272889839187623,--[8]--nil[t]--genome-
0.26197424562011806,--[4]--ker[t]--genome-
0.2199171056982609,-lin--ker--[a]lin--ker[t]--genome-
0.205791043434431,-rek--nil--rek--nil[t]--genome-
0.19583859047582358,-rek--nil--rek--nil--genome-
0.1775389189067712,-genome--[a]rek--nil--genome-
0.17593368455860872,-lin--ker--[a]rek--nil[t]--genome-
0.17432845021044624,--[8]--nil--genome-
0.14671841942205144,--[2]--ker[t]--genome-
0.14126062263829897,-lin--ker[t]--rek--nil[t]--genome-
0.12745560724410157,--[9]--ker[t]--genome-
0.12488723228704159,-lin--ker[t]--[a]rek--nil[t]--genome-
0.1219978104603491,-lin--ker--[a]rek--nil--genome-
0.11589791993733166,--[8]--nil--lin--ker[t]--genome-
0.1097980294143142,-genome--ker[t]--genome-
0.1094769825446817,-rek--genome-
0.10498232636982674,-rek--[8]--lin--ker[t]--genome-
0.10112976393423675,-lin--ker[t]--rek--nil--genome-
0.09470882654158681,-lin--ker[t]--[a]rek--nil--genome-
0.09181940471489433,-genome--nil[t]--genome-
0.07769334245106443,--[8]--ker--genome-
0.07705124871179944,--[3]--ker[t]--genome-
0.07351973314584197,-genome--[a]lin--genome-
0.06998821757988449,-ker[t]--genome-
0.06902507697098699,-rek--nil[t]--rek--nil[t]--genome-
0.0680619363620895,-lin--[8]--lin--ker[t]--genome-
0.06645670201392702,-genome--lin--genome-
0.06549356140502952,-rek--nil--[8]--ker[t]--genome-
0.06420937392649953,--[7]--nil--lin--ker[t]--genome-
0.06292518644796954,-rek--nil--lin--genome-
0.06131995209980705,-genome--[a]rek--genome-
0.0545779678375246,--[10]--ker[t]--genome-
0.05329378035899461,-rek--nil[t]--rek--nil--genome-
0.04944121792340464,-lin--[7]--[a]lin--ker[t]--genome-
0.04944121792340464,--[7]--ker--genome-
0.049120171053772144,--[8]--ker--lin--ker[t]--genome-
0.047514936705609655,--[7]--nil[t]--genome-
0.047514936705609655,-rek--[8]--rek--nil[t]--genome-
0.047514936705609655,-genome--rek--nil[t]--genome-
0.04558865548781467,-rek--[8]--rek--nil--genome-
0.045267608618182166,-rek--nil--[8]--nil[t]--genome-
0.04462551487891717,--[8]--nil--rek--nil--genome-
0.04334132740038718,--[8]--nil--rek--nil[t]--genome-
0.042057139921857195,-genome--nil--genome-
0.041415046182592195,-rek--nil--rek--nil--lin--ker[t]--genome-
0.0407729524433272,--[1]--[a]lin--ker[t]--genome-
0.040451905573694706,--[7]--ker--[a]rek--nil[t]--genome-
0.039809811834429706,-lin--ker[t]--[a]lin--ker[t]--genome-
0.039809811834429706,-rek--nil--[8]--nil--genome-
0.03884667122553222,--[8]--ker--[a]rek--nil[t]--genome-
0.03820457748626722,-genome--rek--nil--genome-
0.03820457748626722,-lin--ker--lin--genome-
0.03788353061663472,--[8]--lin--ker[t]--genome-
0.03724143687736973,--[5]--nil[t]--genome-
0.03724143687736973,--[4]--[a]lin--ker[t]--genome-
0.035957249398839736,-lin--ker[t]--lin--ker[t]--genome-
0.03563620252920724,--[2]--[a]lin--ker[t]--genome-
0.03467306192030975,--[6]--[a]lin--ker[t]--genome-
0.03467306192030975,--[8]--[a]lin--ker[t]--genome-
0.03274678070251476,-rek--[7]--lin--ker[t]--genome-
0.03242573383288226,--[9]--[a]lin--ker[t]--genome-
0.032104686963249765,--[8]--ker--[a]rek--nil--genome-
0.03146259322398477,-[a]lin--ker[t]--genome-
0.03146259322398477,--[1]--ker[t]--genome-
0.030820499484719776,--[3]--[a]lin--ker[t]--genome-
0.030820499484719776,--[2]--lin--ker[t]--genome-
0.03017840574545478,--[8]--ker--[a]lin--ker[t]--genome-
0.029857358875822283,-rek--nil--rek--genome-
0.029857358875822283,--[7]--[a]lin--ker[t]--genome-
0.029215265136557287,--[7]--ker[t]--[a]rek--nil[t]--genome-
0.02889421826692479,--[5]--nil--lin--ker[t]--genome-
0.028252124527659794,--[6]--ker--genome-
0.027610030788394798,--[7]--lin--ker[t]--genome-
0.0272889839187623,-genome--lin--ker--genome-
0.026646890179497305,-lin--ker--[a]rek--genome-
0.02600479644023231,--[4]--nil[t]--genome-
0.025683749570599813,--[8]--[a]rek--nil[t]--genome-
0.025041655831334816,--[10]--[a]lin--ker[t]--genome-
0.02439956209206982,--[4]--[a]rek--nil[t]--genome-
0.024078515222437324,--[8]--ker[t]--rek--nil[t]--genome-
0.024078515222437324,-rek--nil--rek--nil--rek--nil--genome-
0.023757468352804827,-rek--nil--lin--ker--genome-
0.023436421483172327,--[7]--ker[t]--rek--nil[t]--genome-
0.02311537461353983,--[7]--ker--lin--ker[t]--genome-
0.02311537461353983,--[7]--ker--[a]rek--nil--genome-
0.02311537461353983,-lin--ker--[a]lin--genome-
0.02311537461353983,--[6]--nil--lin--ker[t]--genome-
0.022473280874274835,--[11]--[a]lin--ker[t]--genome-
0.022473280874274835,--[2]--[a]rek--nil[t]--genome-
0.022473280874274835,--[6]--nil[t]--genome-
