count,mask
86.9611,-genome-
1.7574,-genome--egdirb--genome-
1.6991,-genome--bridge--genome-
1.264,-genome--blunt--genome-
1.1747,-genome--tnulb--genome-
0.9822,-genome--bridge--gatc--egdirb--genome-
0.8249,-bridge--gatc--genome-
0.5237,-bridge--genome-
0.2682,-genome--egdirb-
0.2366,-genome--gatc--egdirb-
0.2257,-genome--blunt--genome--egdirb--genome-
0.1881,-genome--gatc--egdirb--genome-
0.1725,-genome--bridge--genome--tnulb--genome-
0.1558,-genome--bridge--gatc--genome-
0.1418,-bridge--gatc--egdirb--genome-
0.063,-genome--blunt--genome--bridge--genome-
0.0629,-genome--bridge--gatc--egdirb-
0.0622,-genome--egdirb--genome--tnulb--genome-
0.0548,-tnulb--genome-
0.0315,-bridge--gatc--genome--egdirb--genome-
0.0297,-bridge--gatc--genome--bridge--genome-
0.0282,-genome--bridge--[2]--
0.0272,-bridge--gatc--tnulb--genome-
0.0272,-genome--bridge--[1]--
0.027,-genome--bridge--[3]--
0.0235,-genome--bridge-
0.0219,--[6]--gatc--egdirb--genome-
0.021,-genome--bridge--[4]--
0.0209,-genome--bridge--[4]--egdirb--genome-
0.0208,--[2]--egdirb--genome-
0.0201,-genome--blunt-
0.0198,-genome--bridge--gatc--[5]--
0.0193,-genome--bridge--[9]--
0.0192,-genome--bridge--gatc--[6]--
0.0191,--[9]--egdirb--genome-
0.0184,-genome--egdirb--[1]--
0.0182,--[3]--egdirb--genome-
0.0179,--[10]--egdirb--genome-
0.0177,--[5]--egdirb--genome-
0.0176,-genome--bridge--genome--bridge--gatc--egdirb--genome-
0.0175,-genome--bridge--gatc--[4]--
0.0173,-genome--bridge--[5]--
0.0173,-genome--bridge--[11]--
0.017,-genome--bridge--gatc--[3]--
0.017,-genome--egdirb--[2]--
0.0169,-genome--bridge--[10]--
0.0166,-genome--bridge--[6]--
0.0165,--[5]--gatc--egdirb--genome-
0.0163,-genome--bridge--genome--bridge--genome-
0.0161,--[3]--gatc--egdirb--genome-
0.0161,-bridge--genome--egdirb--genome-
0.0161,-genome--egdirb--genome--egdirb--genome-
0.016,-genome--blunt--[10]--
0.016,--[8]--tnulb--genome-
0.0159,-genome--egdirb--[7]--
0.0158,--[10]--tnulb--genome-
0.0155,-genome--bridge--gatc--egdirb--genome--egdirb--genome-
0.0154,-genome--bridge--[8]--
0.0154,--[7]--egdirb--genome-
0.0154,-genome--bridge--gatc--egdirb--[2]--
0.0153,-genome--egdirb--[10]--
0.0153,-genome--egdirb--[6]--
0.0152,-bridge--gatc--genome--tnulb--genome-
0.0151,-genome--bridge--gatc--egdirb--[1]--
0.015,--[7]--gatc--egdirb--genome-
0.0148,--[6]--egdirb--genome-
0.0147,--[6]--bridge--genome-
0.0146,--[11]--egdirb--genome-
0.0145,-egdirb--genome-
0.0143,-genome--egdirb--[8]--
0.0143,--[5]--bridge--genome-
0.0143,--[11]--bridge--genome-
0.0142,--[7]--bridge--genome-
0.0139,-genome--egdirb--[5]--
0.0139,-genome--blunt--[6]--
0.0139,-genome--egdirb--[3]--
0.0138,--[3]--bridge--gatc--egdirb--genome-
0.0138,--[6]--tnulb--genome-
0.0138,-genome--bridge--gatc--egdirb--[6]--
0.0138,-bridge--genome--bridge--genome-
0.0136,-bridge--gatc--genome--blunt--genome-
0.0136,--[4]--egdirb--genome-
0.0136,-genome--bridge--gatc--egdirb--genome--blunt--genome-
0.0134,-genome--bridge--gatc--egdirb--genome--bridge--genome-
0.0133,--[6]--bridge--gatc--egdirb--genome-
0.0133,--[2]--tnulb--genome-
0.0132,-genome--egdirb--genome--bridge--gatc--egdirb--genome-
0.0132,--[1]--bridge--genome-
0.0132,-genome--bridge--gatc--[1]--
0.0132,-blunt--genome-
0.0132,-genome--blunt--[2]--
0.0132,-genome--bridge--[7]--
0.0131,--[10]--bridge--genome-
0.0131,-genome--blunt--[7]--
0.013,--[2]--bridge--genome-
0.013,-genome--tnulb--genome--bridge--gatc--egdirb--genome-
0.0129,--[1]--egdirb--genome-
0.0128,-genome--egdirb--[11]--
0.0128,-genome--blunt--[1]--
0.0128,-bridge--genome--tnulb--genome-
0.0126,-genome--bridge--gatc-
0.0125,-genome--blunt--[8]--
0.0125,-genome--egdirb--[9]--
0.0125,--[1]--tnulb--genome-
0.0124,--[9]--tnulb--genome-
0.0124,-genome--bridge--gatc--egdirb--[5]--
0.0124,-genome--bridge--gatc--egdirb--[7]--
0.0124,--[9]--bridge--genome-
0.0123,-genome--bridge--gatc--egdirb--[3]--
0.0123,--[3]--tnulb--genome-
0.0122,--[8]--egdirb--genome-
0.0122,-genome--bridge--gatc--[2]--
0.0122,-genome--blunt--[4]--
0.0121,--[3]--bridge--genome-
0.0121,--[1]--bridge--gatc--egdirb--genome-
0.012,--[4]--tnulb--genome-
0.0118,--[7]--tnulb--genome-
0.0117,-genome--blunt--[11]--
0.0116,-genome--tnulb-
0.0116,-genome--egdirb--[4]--
0.0114,-bridge--genome--blunt--genome-
0.0114,--[4]--gatc--egdirb--genome-
0.0112,-genome--bridge--gatc--egdirb--[10]--
0.0112,--[11]--tnulb--genome-
0.0112,-genome--blunt--[5]--
0.0112,-genome--blunt--[9]--
0.0111,-genome--bridge--gatc--egdirb--[8]--
0.0111,-genome--bridge--gatc--egdirb--[4]--
0.0111,-genome--blunt--[3]--
0.0109,--[5]--blunt--genome-
0.0108,--[5]--tnulb--genome-
0.0108,--[11]--bridge--gatc--egdirb--genome-
0.0107,-tnulb--bridge--gatc--egdirb--genome-
0.0107,--[8]--bridge--genome-
0.0107,--[2]--gatc--egdirb--genome-
0.0106,-genome--tnulb--[3]--
0.0106,-genome--tnulb--[10]--
0.0104,-genome--tnulb--[6]--
0.0104,--[8]--bridge--gatc--egdirb--genome-
0.0104,--[10]--blunt--genome-
0.0104,-genome--tnulb--[4]--
0.0103,--[4]--bridge--genome-
0.0103,--[11]--blunt--genome-
0.0103,--[6]--blunt--genome-
0.0103,--[2]--bridge--gatc--egdirb--genome-
0.0102,--[4]--blunt--genome-
0.01,-genome--tnulb--[9]--
0.01,-tnulb--bridge--gatc--genome-
