count,mask
49.064,-genome-
10.24,-bridge--genome-
8.048,-bridge--gatc--genome-
4.114,-genome--bridge--genome-
3.471,-genome--egdirb--genome-
3.032,-genome--bridge--gatc--genome-
2.839,-genome--bridge--gatc--egdirb--genome-
1.546,-genome--gatc--egdirb--genome-
1.495,-genome--tnulb--genome-
1.472,-genome--blunt--genome-
1.272,-tnulb--genome-
0.566,-bridge--gatc--egdirb--genome-
0.308,-bridge--gatc--genome--bridge--genome-
0.287,-bridge--genome--bridge--genome-
0.261,-bridge--gatc--genome--egdirb--genome-
0.255,-bridge--genome--egdirb--genome-
0.221,-bridge--gatc--genome--tnulb--genome-
0.216,-bridge--genome--tnulb--genome-
0.214,-genome--egdirb--[2]--
0.189,-bridge--genome--blunt--genome-
0.186,-genome--egdirb--[1]--
0.186,-genome--egdirb-
0.179,-genome--bridge--genome--tnulb--genome-
0.17,-bridge--gatc--genome--blunt--genome-
0.158,-tnulb--bridge--genome-
0.148,-genome--blunt--genome--egdirb--genome-
0.147,-genome--bridge--gatc--tnulb--genome-
0.128,-tnulb--genome--bridge--genome-
0.116,-tnulb--bridge--gatc--genome-
0.106,-genome--gatc--egdirb--[1]--
0.103,-genome--gatc--egdirb-
0.103,-tnulb--genome--bridge--gatc--egdirb--genome-
0.1,-genome--gatc--egdirb--[2]--
0.098,-genome--blunt--genome--bridge--genome-
0.092,-genome--bridge--[4]--egdirb--genome-
0.09,-blunt--genome-
0.087,-egdirb--genome-
0.079,-tnulb--genome--egdirb--genome-
0.078,-genome--bridge--[2]--
0.077,-genome--bridge--genome--egdirb--genome-
0.076,-bridge--gatc--tnulb--genome-
0.074,-tnulb--genome--bridge--gatc--genome-
0.074,-genome--bridge--gatc--genome--bridge--genome-
0.073,-genome--bridge--[1]--
0.069,-genome--bridge--[3]--
0.067,-genome--egdirb--genome--tnulb--genome-
0.065,-genome--bridge-
0.062,-genome--bridge--gatc--[5]--
0.061,-genome--bridge--gatc--[3]--
0.06,-genome--bridge--gatc--genome--egdirb--genome-
0.058,-genome--egdirb--genome--egdirb--genome-
0.058,-genome--bridge--genome--bridge--genome-
0.056,-genome--bridge--gatc--[4]--
0.056,-tnulb--genome--gatc--egdirb--genome-
0.053,-genome--egdirb--[8]--
0.052,-genome--egdirb--genome--bridge--genome-
0.05,-genome--bridge--genome--bridge--gatc--egdirb--genome-
0.049,-genome--egdirb--[3]--
0.048,-genome--bridge--gatc--[2]--
0.048,-genome--bridge--gatc--[1]--
0.048,-genome--bridge--gatc--[6]--
0.046,-genome--bridge--gatc--egdirb--[2]--
0.045,-genome--egdirb--[9]--
0.045,-genome--bridge--genome--blunt--genome-
0.044,-genome--tnulb--genome--egdirb--genome-
0.044,-genome--bridge--[6]--
0.042,-genome--egdirb--[7]--
0.042,-genome--bridge--gatc--egdirb--[1]--
0.041,-genome--bridge--gatc--egdirb--genome--egdirb--genome-
0.041,-genome--egdirb--genome--bridge--gatc--genome-
0.04,-genome--bridge--[10]--
0.04,-tnulb--genome--blunt--genome-
0.04,-genome--egdirb--[11]--
0.039,-genome--egdirb--[10]--
0.038,--[6]--bridge--genome-
0.038,-genome--tnulb--genome--bridge--genome-
0.038,-genome--egdirb--[5]--
0.037,-bridge--gatc--[6]--egdirb--genome-
0.037,--[1]--bridge--genome-
0.037,-genome--egdirb--genome--bridge--gatc--egdirb--genome-
0.036,-genome--blunt--gac--genome-
0.035,-genome--egdirb--[6]--
0.035,-genome--bridge--genome--gatc--egdirb--genome-
0.035,-genome--bridge--gatc-
0.033,--[6]--bridge--gatc--genome-
0.033,-genome--blunt--genome--bridge--gatc--genome-
0.032,-genome--egdirb--genome--gatc--egdirb--genome-
0.032,-genome--bridge--genome--bridge--gatc--genome-
0.031,--[5]--bridge--genome-
0.03,-tnulb--genome--tnulb--genome-
0.03,-genome--egdirb--[4]--
0.03,--[1]--egdirb--genome-
0.03,-genome--bridge--gatc--egdirb--[11]--
0.03,--[6]--gatc--egdirb--genome-
0.03,-genome--bridge--gatc--egdirb--genome--bridge--genome-
0.029,-genome--bridge--gatc--genome--tnulb--genome-
0.029,-genome--bridge--[11]--
0.029,-genome--blunt--[1]--bridge--genome-
0.029,-genome--egdirb--[1]--tnulb--genome-
0.029,--[8]--bridge--genome-
0.029,-genome--blunt--gac--tnulb--genome-
0.028,-genome--bridge--gatc--genome--blunt--genome-
0.028,-bridge--[4]--egdirb--genome-
0.028,-genome--tnulb--genome--bridge--gatc--egdirb--genome-
0.028,-genome--bridge--gatc--egdirb--[6]--
0.028,--[3]--bridge--genome-
0.028,-genome--blunt--[3]--
0.028,-genome--gatc--egdirb--[10]--
0.028,-genome--blunt--[1]--bridge--gatc--genome-
0.028,--[7]--bridge--genome-
0.027,--[4]--bridge--genome-
0.027,-genome--bridge--[9]--
0.026,-genome--blunt--[2]--
0.026,-genome--blunt--genome--gatc--egdirb--genome-
0.026,-genome--gtc--tnulb--genome-
0.026,-genome--tnulb--genome--bridge--gatc--genome-
0.026,-bridge--gatc--egdirb--genome--egdirb--genome-
0.026,-genome--bridge--[7]--
0.026,-genome--bridge--gatc--egdirb--genome--blunt--genome-
0.025,-genome--gatc--egdirb--[1]--tnulb--genome-
0.025,-genome--bridge--[4]--
0.024,-genome--bridge--gatc--egdirb-
0.024,--[11]--bridge--genome-
0.024,-genome--tnulb--genome--gatc--egdirb--genome-
0.024,-genome--bridge--gatc--egdirb--[3]--
0.024,--[10]--tnulb--genome-
0.024,-genome--bridge--gatc--[7]--
0.023,-genome--blunt--[4]--
0.023,-bridge--gatc--genome--blunt--genome--egdirb--genome-
0.023,--[10]--bridge--genome-
0.023,-genome--bridge--gatc--egdirb--[4]--
0.023,-bridge--genome--blunt--genome--egdirb--genome-
0.023,-genome--bridge--[5]--
0.023,--[11]--tnulb--genome-
0.022,--[9]--tnulb--genome-
0.022,-genome--tnulb--genome--blunt--genome-
0.022,-genome--blunt--[1]--
0.022,-genome--bridge--gatc--[11]--
0.022,-genome--blunt--gatc--egdirb--genome-
0.022,-genome--bridge--gatc--[9]--
0.022,-genome--bridge--[8]--
0.021,-genome--gatc--egdirb--[7]--
0.021,-genome--bridge--gatc--egdirb--[8]--
0.02,-genome--bridge--gatc--egdirb--[5]--
0.02,--[2]--egdirb--genome-
0.02,--[9]--bridge--genome-
0.02,-bridge--gatc--genome--bridge--genome--tnulb--genome-
0.02,-genome--bridge--gatc--egdirb--genome--tnulb--genome-
0.02,-genome--blunt--genome--bridge--gatc--egdirb--genome-
0.019,-genome--egdirb--genome--blunt--genome-
0.019,-genome--gatc--egdirb--[9]--
0.019,-genome--gatc--egdirb--[4]--
0.019,--[4]--egdirb--genome-
0.019,-genome--bridge--gatc--[8]--
0.019,-genome--gatc--egdirb--[5]--
0.018,-genome--gatc--egdirb--[6]--
0.018,--[1]--bridge--gatc--genome-
0.018,-bridge--gatc--egdirb--genome--tnulb--genome-
0.018,-genome--tnulb-
0.018,-genome--gatc--egdirb--[3]--
0.017,-genome--blunt--[9]--
0.017,-genome--blunt--[11]--
0.017,-genome--blunt-
0.017,--[9]--blunt--genome-
0.017,--[5]--tnulb--genome-
0.017,--[1]--blunt--genome-
0.017,-blunt--gac--genome-
0.017,--[9]--bridge--gatc--genome-
0.016,-genome--bridge--gatc--[10]--
0.016,--[11]--egdirb--genome-
0.016,-genome--blunt--[7]--
0.016,--[5]--egdirb--genome-
0.016,-genome--egdirb--[10]--bridge--genome-
0.016,-genome--gatc--egdirb--genome--egdirb--genome-
0.016,--[3]--tnulb--genome-
0.016,-genome--gatc--egdirb--[8]--
0.016,--[6]--egdirb--genome-
0.015,--[10]--egdirb--genome-
0.015,-genome--bridge--[3]--egdirb--genome-
0.015,-genome--tnulb--bridge--gatc--genome-
0.015,-genome--blunt--[6]--
0.015,-bridge--genome--blunt--genome--bridge--genome-
0.015,--[11]--bridge--gatc--genome-
0.015,-genome--bridge--gatc--egdirb--[7]--
0.015,-genome--blunt--[10]--
0.015,-genome--blunt--[4]--egdirb--genome-
0.015,-genome--bridge--gatc--egdirb--[9]--
0.015,-genome--gatc--egdirb--genome--bridge--genome-
0.014,-genome--tnulb--bridge--genome-
0.014,-bridge--gatc--genome--egdirb--genome--tnulb--genome-
0.014,-genome--bridge--[3]--bridge--gatc--egdirb--genome-
0.014,--[7]--gatc--egdirb--genome-
0.014,-genome--bridge--gatc--egdirb--[3]--egdirb--genome-
0.014,-genome--blunt--[8]--
0.014,--[8]--egdirb--genome-
0.014,--[9]--egdirb--genome-
0.013,--[10]--blunt--genome-
0.013,--[8]--tnulb--genome-
0.013,-genome--bridge--gatc--egdirb--[10]--
0.013,--[2]--bridge--genome-
0.013,-genome--blunt--genome--tnulb--genome-
0.012,-genome--blunt--gac--egdirb--genome-
0.012,--[1]--tnulb--genome-
0.012,-genome--gatc--egdirb--genome--tnulb--genome-
0.012,-genome--tnulb--[9]--
0.012,--[6]--bridge--genome--tnulb--genome-
0.012,--[2]--bridge--gatc--genome-
0.012,-genome--tnulb--[6]--
0.012,-genome--bridge--gatc--[6]--egdirb--genome-
0.012,-bridge--genome--illumina--genome-
0.012,--[10]--bridge--gatc--genome-
0.012,-bridge--genome--blunt--[2]--
0.012,-tnulb--bridge--gatc--egdirb--genome-
0.012,-bridge--genome--bridge--genome--tnulb--genome-
0.011,--[1]--gatc--egdirb--genome-
0.011,--[5]--bridge--gatc--genome-
0.011,--[2]--tnulb--genome-
0.011,--[8]--bridge--gatc--genome-
0.011,--[5]--blunt--genome-
0.011,-genome--illumina--genome-
0.011,-genome--gatc--egdirb--[11]--
0.011,-genome--tnulb--[1]--
0.011,--[7]--tnulb--genome-
0.011,-genome--tnulb--genome--tnulb--genome-
0.011,--[2]--blunt--genome-
0.01,-bridge--gatc--egdirb--genome--bridge--genome-
0.01,--[7]--bridge--gatc--genome-
0.01,--[1]--blunt--genome--egdirb--genome-
0.01,-genome--bridge--genome--gatc--egdirb--[2]--
