count,mask
49.1766,-genome-
6.8998,-genome--bridge--gatc--egdirb--genome-
4.8184,-bridge--genome-
4.21,-bridge--gatc--genome-
2.8183,-genome--bridge--genome-
2.5663,-genome--egdirb--genome-
2.3442,-genome--egdirb-
1.6636,-bridge--gatc--egdirb--genome-
1.4309,-genome--blunt--genome-
1.3513,-genome--tnulb--genome-
1.2634,-genome--gatc--egdirb-
0.9588,-genome--bridge--gatc--genome-
0.7258,-genome--gatc--egdirb--genome-
0.6653,-tnulb--genome-
0.6064,-genome--bridge--gatc--egdirb-
0.3588,-genome--blunt--genome--egdirb--genome-
0.2926,-genome--[t]bridge--genome-
0.277,-genome--bridge--genome--tnulb--genome-
0.271,-genome--egdirb[a]--genome-
0.2498,-genome--bridge--gatc--egdirb[a]--genome-
0.2383,-bridge--gatc--genome--egdirb--genome-
0.2233,-bridge--gatc--genome--bridge--genome-
0.2188,-genome--[t]bridge--gatc--egdirb--genome-
0.2026,-bridge--gatc--tnulb--genome-
0.1831,-genome--bridge--gatc--[6]--
0.1769,-bridge--genome--egdirb--genome-
0.1762,-genome--bridge--[3]--
0.1749,-genome--bridge--[2]--
0.1696,-genome--bridge--gatc--[5]--
0.1669,-genome--bridge--gatc--[3]--
0.1607,-bridge--genome--bridge--genome-
0.1496,-genome--bridge--gatc--[4]--
0.1494,--[6]--gatc--egdirb--genome-
0.1489,-genome--bridge--[1]--
0.1406,-genome--bridge-
0.1391,-genome--bridge--gatc--[2]--
0.1309,-genome--bridge--gatc--[1]--
0.1307,-tnulb--bridge--gatc--egdirb--genome-
0.1298,-bridge--genome--blunt--genome-
0.1282,-genome--bridge--genome--bridge--gatc--egdirb--genome-
0.127,-genome--bridge--gatc-
0.1207,-bridge--genome--tnulb--genome-
0.1197,-genome--bridge--[4]--egdirb--genome-
0.1181,-genome--bridge--gatc--egdirb--[1]--
0.1152,-genome--blunt-
0.1135,-genome--bridge--gatc--egdirb--genome--egdirb--genome-
0.1108,-genome--tnulb--genome--bridge--gatc--egdirb--genome-
0.1091,-genome--egdirb--genome--bridge--gatc--egdirb--genome-
0.109,-genome--bridge--gatc--egdirb--[4]--
0.1068,-genome--bridge--gatc--egdirb--[5]--
0.1046,-genome--bridge--gatc--egdirb--[6]--
0.1046,-genome--bridge--gatc--egdirb--genome--blunt--genome-
0.1043,-genome--bridge--gatc--egdirb--[3]--
0.104,--[5]--gatc--egdirb--genome-
0.1038,-tnulb--bridge--gatc--genome-
0.1017,-bridge--gatc--genome--tnulb--genome-
0.1012,-genome--bridge--gatc--egdirb--[2]--
0.101,--[3]--gatc--egdirb--genome-
0.094,-genome--bridge--gatc--egdirb--[7]--
0.0932,-bridge--gatc--egdirb--genome--egdirb--genome-
0.0913,-genome--bridge--gatc--egdirb--genome--bridge--genome-
0.0911,-genome--bridge--gatc--egdirb--[8]--
0.0894,-bridge--gatc--genome--blunt--genome-
0.0877,-genome--blunt--genome--bridge--genome-
0.084,-bridge--gatc--egdirb[a]--genome-
0.0837,-genome--bridge--gatc--egdirb--[9]--
0.0832,-genome--bridge--gatc--egdirb--[10]--
0.0791,-genome--bridge--gatc--egdirb--[11]--
0.0763,-tnulb--bridge--genome-
0.0759,-genome--bridge--genome--egdirb-
0.0737,--[4]--gatc--egdirb--genome-
0.0708,-genome--egdirb--genome--egdirb-
0.07,--[2]--egdirb--genome-
0.0689,-genome--egdirb--genome--tnulb--genome-
0.0676,--[1]--bridge--gatc--egdirb--genome-
0.0654,--[5]--egdirb--genome-
0.0638,--[6]--bridge--gatc--egdirb--genome-
0.0632,--[7]--egdirb--genome-
0.0632,-genome--blunt--genome--bridge--gatc--egdirb--genome-
0.0631,-bridge--gatc--egdirb--genome--bridge--genome-
0.0608,-tnulb--genome--bridge--gatc--egdirb--genome-
0.0599,-genome--bridge--genome--gatc--egdirb-
0.0594,-genome--[t]bridge--gatc--genome-
0.059,-blunt--genome-
0.0583,--[2]--gatc--egdirb--genome-
0.0576,-egdirb--genome-
0.0554,-genome--bridge--[4]--
0.0552,-genome--egdirb--genome--gatc--egdirb-
0.0529,--[2]--bridge--gatc--egdirb--genome-
0.0523,--[3]--bridge--gatc--egdirb--genome-
0.0518,-genome--blunt--genome--egdirb-
0.0503,--[9]--bridge--gatc--egdirb--genome-
0.0503,--[3]--egdirb--genome-
0.049,--[6]--bridge--genome-
0.0484,--[5]--bridge--gatc--egdirb--genome-
0.0477,--[1]--gatc--egdirb--genome-
0.0477,-bridge--gatc--egdirb--genome--blunt--genome-
0.047,-genome--tnulb--genome--egdirb-
