count,mask
31.3243,-genome-
6.9804,-bridge--genome-
5.5336,-bridge--gatc--genome-
4.9357,-genome--illumina--genome-
3.4393,-genome--egdirb--illumina--genome-
3.1014,-bridge--genome--illumina--genome-
2.7231,-genome--bridge--genome-
2.5423,-bridge--gatc--genome--illumina--genome-
2.4039,-genome--egdirb--genome-
2.2413,-genome--gatc--egdirb--illumina--genome-
2.1335,-genome--bridge--gatc--genome-
2.0562,-genome--bridge--gatc--egdirb--genome-
1.1594,-genome--gatc--egdirb--genome-
0.963,-genome--tnulb--genome-
0.962,-genome--blunt--genome-
0.8249,-tnulb--genome-
0.6956,-genome--bridge--gatc--egdirb--genome--illumina--genome-
0.6741,-genome--bridge--gatc--genome--illumina--genome-
0.625,-genome--bridge--genome--illumina--genome-
0.6022,-genome--egdirb--genome--illumina--genome-
0.4184,-bridge--gatc--egdirb--genome-
0.4143,-genome--gatc--egdirb--genome--illumina--genome-
0.3006,-genome--bridge--gatc--egdirb--illumina--genome-
0.225,-bridge--gatc--egdirb--genome--illumina--genome-
0.211,-bridge--gatc--genome--bridge--genome-
0.2049,-bridge--genome--bridge--genome-
0.1876,-bridge--gatc--genome--egdirb--genome-
0.1836,-bridge--genome--egdirb--genome-
0.1819,-genome--tnulb--genome--illumina--genome-
0.1742,-genome--blunt--genome--illumina--genome-
0.1514,-bridge--genome--blunt--genome-
0.1511,-bridge--genome--tnulb--genome-
0.1483,-genome--illumina--[9]--
0.1481,-bridge--gatc--genome--tnulb--genome-
0.1473,-genome--illumina--[6]--
0.1472,-genome--illumina--[5]--
0.1457,-genome--illumina--[2]--
0.1423,-genome--illumina--[4]--
0.1405,-genome--illumina--[1]--
0.1394,-genome--illumina-
0.1376,-genome--illumina--[11]--
0.137,-genome--illumina--[10]--
0.1344,-genome--illumina--[7]--
0.1337,-genome--illumina--[8]--
0.1335,-genome--illumina--[3]--
0.1311,-bridge--gatc--genome--blunt--genome-
0.118,-genome--blunt--genome--egdirb--genome-
0.1174,-genome--egdirb--[8]--
0.1163,-genome--egdirb--[6]--
0.1148,-tnulb--genome--illumina--genome-
0.1143,-genome--blunt--illumina--genome-
0.1142,-genome--egdirb--[5]--
0.113,-genome--egdirb--[3]--
0.1127,-genome--bridge--genome--tnulb--genome-
0.1117,-genome--egdirb--[7]--
0.1112,-genome--egdirb--[2]--
0.1106,-genome--egdirb--[4]--
0.1105,-genome--egdirb--[9]--
0.1081,-genome--egdirb-
0.1043,-genome--egdirb--[1]--
0.1032,-genome--bridge--gatc--tnulb--genome-
