count,mask
71.5867,-genome-
5.4196,-genome--bridge--gatc--egdirb--genome-
4.4226,-egdirb--genome-
1.0674,-genome--bridge--genome-
0.8801,-genome--egdirb--genome-
0.51,--[1]--gatc--genome-
0.4575,-genome--bridge--gatc--genome-
0.3449,-genome--bridge--[3]--egdirb--genome-
0.3441,-genome--bridge--[1]--
0.338,-genome--bridge--[3]--
0.3355,-genome--bridge-
0.3327,-genome--bridge--[2]--
0.3152,-genome--gatc--egdirb--genome-
0.2953,-genome--bridge--gatc--[3]--
0.292,-genome--bridge--gatc--[2]--
0.2912,-genome--bridge--gatc-
0.287,-genome--bridge--gatc--[1]--
0.2858,-genome--bridge--gatc--[5]--
0.2854,-genome--bridge--gatc--[4]--
0.2655,-genome--bridge--gatc--[6]--
0.2535,-genome--bridge--gatc--egdirb-
0.253,-genome--bridge--gatc--egdirb--[3]--
0.2479,-genome--bridge--gatc--egdirb--[2]--
0.2473,-genome--bridge--gatc--egdirb--[4]--
0.2464,-genome--bridge--gatc--egdirb--[1]--
0.244,-genome--bridge--gatc--egdirb--[9]--
0.2434,-genome--bridge--gatc--egdirb--[6]--
0.2421,-genome--bridge--gatc--egdirb--[5]--
0.2379,-genome--bridge--gatc--egdirb--[7]--
0.2328,-genome--bridge--gatc--egdirb--[8]--
0.2325,-genome--bridge--gatc--egdirb--[10]--
0.2071,-bridge--genome-
0.1882,-genome--gatc--[4]--
0.1869,-genome--gatc--[6]--
0.1801,--[3]--gatc--genome-
0.1793,-genome--gatc--[5]--
0.1775,-genome--gatc--[1]--
0.1773,--[5]--gatc--genome-
0.1768,-egdirb--bridge--gatc--egdirb--genome-
0.1759,-genome--gatc--[3]--
0.1757,--[4]--gatc--genome-
0.1737,-genome--gatc--[8]--
0.1725,--[6]--gatc--genome-
0.171,--[10]--gatc--genome-
0.1703,-genome--gatc--[2]--
0.17,-genome--gatc--[10]--
0.1663,-genome--gatc--[9]--
0.1657,--[9]--gatc--genome-
0.1598,-genome--gatc--[7]--
0.1545,--[7]--gatc--genome-
0.1524,--[2]--gatc--genome-
0.1519,--[8]--gatc--genome-
0.09,-genome--gatc--[6]--egdirb--genome-
0.0862,-genome--bridge--[6]--gatc--genome-
0.0723,-genome--bridge--[4]--egdirb--genome-
0.0656,-egdirb--genome--bridge--gatc--egdirb--genome-
0.056,-genome--bridge--[4]--
0.0557,-genome--bridge--[8]--
0.0539,-genome--bridge--[6]--
0.0532,-genome--bridge--[5]--
0.0531,-genome--bridge--[7]--
0.0503,-egdirb--bridge--genome-
0.0464,-genome--bridge--[9]--
0.0447,-egdirb--genome--bridge--genome-
0.0413,--[6]--bridge--genome-
0.0337,--[1]--egdirb--genome-
0.0333,-egdirb--genome--egdirb--genome-
0.0328,--[10]--bridge--gatc--egdirb--genome-
0.0323,--[8]--bridge--gatc--egdirb--genome-
0.0314,--[6]--bridge--gatc--egdirb--genome-
0.031,-genome--bridge--bridge--gatc--egdirb--genome-
0.0305,--[9]--bridge--gatc--egdirb--genome-
0.0294,--[2]--egdirb--genome-
0.0293,-genome--bridge--gatc--egdirb--bridge--genome-
0.0291,-genome--egdirb--[2]--
0.029,--[5]--bridge--gatc--egdirb--genome-
0.029,--[7]--bridge--gatc--egdirb--genome-
0.0286,--[1]--gatc--genome--egdirb--genome-
0.0279,-genome--bridge--[10]--
0.0269,-genome--egdirb--[3]--
0.0268,-genome--egdirb--[8]--
0.0266,-genome--egdirb-
0.0251,-genome--egdirb--[5]--
0.0251,--[2]--bridge--gatc--egdirb--genome-
0.0244,-genome--egdirb--[1]--
0.0244,--[4]--bridge--gatc--egdirb--genome-
0.0237,-genome--egdirb--[4]--
0.0236,--[6]--egdirb--genome-
0.0233,-genome--egdirb--[6]--
0.0228,-genome--gatc--[6]--gatc--genome-
0.0226,--[5]--bridge--genome-
0.0223,--[5]--egdirb--genome-
0.0216,--[3]--bridge--gatc--egdirb--genome-
0.0212,-genome--egdirb--[7]--
0.0212,-genome--egdirb--[10]--
0.0212,--[4]--egdirb--genome-
0.0208,--[1]--bridge--genome-
0.0201,-genome--egdirb--[9]--
0.02,-genome--gatc--[3]--gatc--genome-
0.0199,--[1]--bridge--gatc--egdirb--genome-
0.0195,-egdirb--bridge--gatc--genome-
0.0194,-genome--gatc--[4]--gatc--genome-
0.0193,-genome--bridge--gatc--[7]--
0.0191,--[4]--bridge--genome-
0.0179,-genome--egdirb--bridge--gatc--egdirb--genome-
0.0178,-genome--bridge--gatc--[8]--
0.0174,-genome--gatc--[5]--gatc--genome-
0.0172,-genome--gatc--egdirb--[4]--
0.0172,--[10]--egdirb--genome-
0.017,-genome--bridge--[3]--egdirb--[6]--
0.0166,-genome--gatc--[8]--gatc--genome-
0.0165,-egdirb--[2]--gatc--genome-
0.0165,--[1]--gatc--genome--bridge--gatc--egdirb--genome-
0.0163,-genome--bridge--[3]--egdirb--[7]--
0.0162,-genome--bridge--gatc--[10]--
0.0162,-genome--bridge--[3]--egdirb--[8]--
0.0162,-genome--bridge--[3]--egdirb--[4]--
0.0162,-genome--gatc--egdirb-
0.0161,-genome--bridge--gatc--[9]--
0.016,--[9]--bridge--genome-
0.0157,-bridge--gatc--genome-
0.0157,-genome--gatc--egdirb--[1]--
0.0157,-egdirb--genome--bridge--[2]--
0.0157,-genome--bridge--[3]--egdirb--[1]--
0.0157,-genome--gatc--egdirb--[5]--
0.0153,-genome--bridge--[3]--egdirb--[2]--
0.0153,--[2]--bridge--genome-
0.0152,-genome--bridge--[3]--egdirb--[10]--
0.015,-genome--gatc--egdirb--[8]--
0.0149,-genome--gatc--egdirb--[3]--
0.0148,-genome--bridge--[3]--egdirb--[9]--
0.0148,--[10]--bridge--genome-
0.0147,-egdirb--genome--bridge--[1]--
0.0146,-genome--bridge--[3]--egdirb--[3]--
0.0145,-genome--gatc--egdirb--[2]--
0.0143,-genome--gatc--[2]--gatc--genome-
0.0142,-genome--gatc--egdirb--[6]--
0.0142,-egdirb--[1]--gatc--genome-
0.0142,-egdirb--genome--bridge-
0.0142,-genome--gatc--egdirb--[10]--
0.0141,-genome--gatc--[1]--bridge--gatc--egdirb--genome-
0.0141,-bridge--gatc--egdirb--genome-
0.014,-genome--gatc--[6]--bridge--gatc--egdirb--genome-
0.0139,-genome--bridge--[3]--egdirb-
0.0137,--[5]--gatc--genome--bridge--gatc--egdirb--genome-
0.0137,-genome--gatc--[1]--gatc--genome-
0.0136,-genome--gatc--egdirb--[9]--
0.0133,-egdirb--genome--gatc--[2]--
0.0133,-genome--bridge--[3]--egdirb--[5]--
0.0132,--[3]--bridge--genome-
0.013,-genome--gatc--[9]--gatc--genome-
0.013,-egdirb--genome--bridge--[3]--
0.0128,-genome--bridge--gatc--egdirb--[1]--gatc--genome-
0.0128,-genome--gatc--[5]--bridge--gatc--egdirb--genome-
0.0127,-genome--gatc--[10]--gatc--genome-
0.0127,-genome--gatc--[2]--bridge--gatc--egdirb--genome-
0.0126,--[3]--gatc--genome--bridge--gatc--egdirb--genome-
0.0126,--[8]--egdirb--genome-
0.0125,-egdirb--genome--gatc--[7]--
0.0124,--[7]--bridge--genome-
0.0124,-egdirb--[6]--gatc--genome-
0.0122,-egdirb--[5]--gatc--genome-
0.0121,-egdirb--genome--bridge--gatc--[3]--
0.0119,-genome--gatc--egdirb--[7]--
0.0118,-egdirb--genome--gatc--[4]--
0.0116,-genome--gatc--[7]--gatc--genome-
0.0114,--[4]--gatc--genome--bridge--gatc--egdirb--genome-
0.0114,-genome--bridge--gatc--egdirb--[6]--gatc--genome-
0.0114,-genome--bridge--gatc--egdirb--genome--gatc--[1]--
0.0113,-egdirb--genome--gatc--[3]--
0.0113,-egdirb--genome--gatc--[1]--
0.0111,-genome--gatc--[7]--bridge--gatc--egdirb--genome-
0.0111,-egdirb--genome--gatc--[9]--
0.0109,-egdirb--genome--gatc--[5]--
0.0107,-genome--gatc--[3]--bridge--gatc--egdirb--genome-
0.0107,-egdirb--genome--bridge--gatc--[2]--
0.0106,-genome--gatc--[9]--bridge--gatc--egdirb--genome-
0.0106,-egdirb--genome--bridge--gatc--[4]--
0.0106,--[7]--egdirb--genome-
