depth	# bases at depth	size of A	% of A at depth
0	1321114	46584178	0.0283597
1	168151	46584178	0.0036096
2	898925	46584178	0.0192968
3	211640	46584178	0.0045432
4	1147440	46584178	0.0246315
5	263827	46584178	0.0056634
6	924831	46584178	0.0198529
7	272760	46584178	0.0058552
8	978461	46584178	0.0210041
9	291391	46584178	0.0062551
10	841705	46584178	0.0180685
11	289514	46584178	0.0062149
12	836480	46584178	0.0179563
13	296068	46584178	0.0063555
14	746265	46584178	0.0160197
15	291985	46584178	0.0062679
16	716411	46584178	0.0153788
17	291099	46584178	0.0062489
18	647652	46584178	0.0139028
19	283053	46584178	0.0060762
20	624903	46584178	0.0134145
21	277926	46584178	0.0059661
22	575997	46584178	0.0123646
23	270818	46584178	0.0058135
24	549118	46584178	0.0117877
25	267643	46584178	0.0057454
26	510475	46584178	0.0109581
27	260558	46584178	0.0055933
28	485779	46584178	0.0104280
29	252596	46584178	0.0054224
30	458232	46584178	0.0098366
31	247464	46584178	0.0053122
32	438339	46584178	0.0094096
33	241435	46584178	0.0051828
34	413735	46584178	0.0088814
35	237269	46584178	0.0050933
36	395306	46584178	0.0084858
37	231646	46584178	0.0049726
38	375280	46584178	0.0080560
39	227813	46584178	0.0048904
40	358295	46584178	0.0076913
41	221708	46584178	0.0047593
42	344802	46584178	0.0074017
43	216010	46584178	0.0046370
44	331864	46584178	0.0071240
45	209605	46584178	0.0044995
46	315922	46584178	0.0067817
47	207954	46584178	0.0044640
48	306277	46584178	0.0065747
49	203582	46584178	0.0043702
50	295623	46584178	0.0063460
51	201598	46584178	0.0043276
52	281534	46584178	0.0060436
53	194983	46584178	0.0041856
54	274238	46584178	0.0058869
55	192586	46584178	0.0041342
56	263982	46584178	0.0056668
57	186459	46584178	0.0040026
58	253519	46584178	0.0054422
59	184283	46584178	0.0039559
60	246094	46584178	0.0052828
61	179775	46584178	0.0038591
62	240087	46584178	0.0051538
63	177584	46584178	0.0038121
64	233959	46584178	0.0050223
65	172820	46584178	0.0037098
66	227696	46584178	0.0048878
67	168192	46584178	0.0036105
68	217390	46584178	0.0046666
69	163906	46584178	0.0035185
70	211947	46584178	0.0045498
71	161981	46584178	0.0034772
72	205520	46584178	0.0044118
73	157825	46584178	0.0033880
74	200250	46584178	0.0042987
75	155032	46584178	0.0033280
76	192375	46584178	0.0041296
77	152645	46584178	0.0032768
78	189214	46584178	0.0040618
79	149959	46584178	0.0032191
80	181761	46584178	0.0039018
81	146528	46584178	0.0031454
82	177758	46584178	0.0038158
83	144851	46584178	0.0031094
84	172741	46584178	0.0037081
85	141095	46584178	0.0030288
86	167896	46584178	0.0036041
87	137509	46584178	0.0029518
88	163178	46584178	0.0035029
89	135662	46584178	0.0029122
90	160280	46584178	0.0034407
91	132231	46584178	0.0028385
92	157975	46584178	0.0033912
93	129936	46584178	0.0027893
94	153731	46584178	0.0033001
95	127408	46584178	0.0027350
96	150313	46584178	0.0032267
97	125944	46584178	0.0027036
98	146486	46584178	0.0031445
99	122314	46584178	0.0026257
100	142790	46584178	0.0030652
101	119617	46584178	0.0025678
102	139465	46584178	0.0029938
103	117569	46584178	0.0025238
104	134591	46584178	0.0028892
105	115622	46584178	0.0024820
106	132069	46584178	0.0028351
107	113204	46584178	0.0024301
108	129085	46584178	0.0027710
109	111946	46584178	0.0024031
110	126302	46584178	0.0027113
111	110497	46584178	0.0023720
112	124748	46584178	0.0026779
113	109375	46584178	0.0023479
114	121131	46584178	0.0026003
115	106320	46584178	0.0022823
116	119531	46584178	0.0025659
117	104649	46584178	0.0022464
118	117251	46584178	0.0025170
119	101290	46584178	0.0021743
120	114799	46584178	0.0024643
121	99985	46584178	0.0021463
122	112410	46584178	0.0024131
123	98320	46584178	0.0021106
124	110692	46584178	0.0023762
125	96603	46584178	0.0020737
126	107158	46584178	0.0023003
127	95344	46584178	0.0020467
128	105270	46584178	0.0022598
129	92816	46584178	0.0019924
130	102054	46584178	0.0021907
131	91366	46584178	0.0019613
132	101485	46584178	0.0021785
133	91230	46584178	0.0019584
134	98448	46584178	0.0021133
135	89022	46584178	0.0019110
136	97009	46584178	0.0020824
137	88288	46584178	0.0018952
138	93864	46584178	0.0020149
139	85709	46584178	0.0018399
140	93294	46584178	0.0020027
141	85398	46584178	0.0018332
142	90846	46584178	0.0019501
143	83111	46584178	0.0017841
144	89157	46584178	0.0019139
145	80986	46584178	0.0017385
146	88762	46584178	0.0019054
147	80626	46584178	0.0017308
148	85958	46584178	0.0018452
149	79964	46584178	0.0017165
150	84531	46584178	0.0018146
151	77955	46584178	0.0016734
152	82621	46584178	0.0017736
153	76300	46584178	0.0016379
154	81285	46584178	0.0017449
