depth	# bases at depth	size of A	% of A at depth
0	1238524417	3137161264	0.3947915
1	107962794	3137161264	0.0344142
2	345978346	3137161264	0.1102839
3	73703656	3137161264	0.0234937
4	278469226	3137161264	0.0887647
5	61797178	3137161264	0.0196984
6	144545385	3137161264	0.0460752
7	43662632	3137161264	0.0139179
8	115846213	3137161264	0.0369271
9	36335839	3137161264	0.0115824
10	71992800	3137161264	0.0229484
11	27904353	3137161264	0.0088948
12	57587040	3137161264	0.0183564
13	23658075	3137161264	0.0075412
14	40732916	3137161264	0.0129840
15	19575843	3137161264	0.0062400
16	33296683	3137161264	0.0106136
17	17148660	3137161264	0.0054663
18	25884013	3137161264	0.0082508
19	14941925	3137161264	0.0047629
20	21916911	3137161264	0.0069862
21	13467384	3137161264	0.0042929
22	18216844	3137161264	0.0058068
23	12127050	3137161264	0.0038656
24	15910335	3137161264	0.0050716
25	11106024	3137161264	0.0035402
26	13823491	3137161264	0.0044064
27	10170636	3137161264	0.0032420
28	12320457	3137161264	0.0039273
29	9370540	3137161264	0.0029869
30	10959682	3137161264	0.0034935
31	8633930	3137161264	0.0027521
32	9881104	3137161264	0.0031497
33	7952654	3137161264	0.0025350
34	8873322	3137161264	0.0028285
35	7314180	3137161264	0.0023315
36	8022570	3137161264	0.0025573
37	6710391	3137161264	0.0021390
38	7253982	3137161264	0.0023123
39	6148044	3137161264	0.0019597
40	6549240	3137161264	0.0020876
41	5613126	3137161264	0.0017892
42	5914378	3137161264	0.0018853
43	5108641	3137161264	0.0016284
44	5346639	3137161264	0.0017043
45	4629111	3137161264	0.0014756
46	4805719	3137161264	0.0015319
47	4188945	3137161264	0.0013353
48	4322659	3137161264	0.0013779
49	3778698	3137161264	0.0012045
50	3878263	3137161264	0.0012362
51	3390735	3137161264	0.0010808
52	3467517	3137161264	0.0011053
53	3040454	3137161264	0.0009692
54	3096195	3137161264	0.0009869
55	2720954	3137161264	0.0008673
56	2770617	3137161264	0.0008832
57	2435891	3137161264	0.0007765
58	2461840	3137161264	0.0007847
59	2170531	3137161264	0.0006919
60	2191848	3137161264	0.0006987
61	1934399	3137161264	0.0006166
62	1954080	3137161264	0.0006229
63	1717613	3137161264	0.0005475
64	1740997	3137161264	0.0005550
65	1524341	3137161264	0.0004859
66	1552785	3137161264	0.0004950
67	1363388	3137161264	0.0004346
68	1380119	3137161264	0.0004399
69	1209087	3137161264	0.0003854
70	1232373	3137161264	0.0003928
71	1076489	3137161264	0.0003431
72	1101102	3137161264	0.0003510
73	965423	3137161264	0.0003077
74	984131	3137161264	0.0003137
75	858646	3137161264	0.0002737
76	879553	3137161264	0.0002804
77	769512	3137161264	0.0002453
78	792192	3137161264	0.0002525
79	690083	3137161264	0.0002200
80	709971	3137161264	0.0002263
81	622361	3137161264	0.0001984
82	641518	3137161264	0.0002045
83	564171	3137161264	0.0001798
84	581680	3137161264	0.0001854
85	510835	3137161264	0.0001628
86	529355	3137161264	0.0001687
87	464473	3137161264	0.0001481
88	484820	3137161264	0.0001545
89	426228	3137161264	0.0001359
90	446419	3137161264	0.0001423
91	390751	3137161264	0.0001246
92	414405	3137161264	0.0001321
93	360499	3137161264	0.0001149
94	382609	3137161264	0.0001220
95	334216	3137161264	0.0001065
96	356022	3137161264	0.0001135
97	312141	3137161264	0.0000995
98	330793	3137161264	0.0001054
99	288197	3137161264	0.0000919
