Rate [%],Mask
16.610150333446366,-genome--[a]lin--ker[t]--genome--illumina--genome-
16.23149090087035,-genome--[a]rek--nil[t]--genome--illumina--genome-
15.016389736633887,-genome--[a]lin--ker[t]--genome-
12.6879168079575,-genome--[a]rek--nil[t]--genome-
4.962134056742399,-genome-
1.6502769300327795,-genome--nil[t]--genome--illumina--genome-
1.5824573301684186,-genome--nil[t]--genome-
1.4863795636939077,-genome--[a]lin--genome--illumina--genome-
1.3959534305414265,-genome--[a]lin--genome-
1.3111789307109756,-genome--ker[t]--genome-
1.2320560642025546,-genome--ker[t]--genome--illumina--genome-
1.175539730982254,-genome--[a]rek--genome-
1.0399005312535323,-genome--[a]rek--genome--illumina--genome-
0.7290606985418786,-lin--ker[t]--genome-
0.6894992652876681,-genome--[a]rek--nil[t]--genome--illumina--[9]--
0.6612410986775178,-lin--ker[t]--genome--illumina--genome-
0.6273312987453374,-genome--[a]lin--ker[t]--genome--illumina--[9]--
0.6047247654572171,-genome--[a]rek--nil--illumina--genome-
0.5708149655250367,-genome--illumina--genome-
0.5595116988809766,-genome--[a]lin--ker[t]--genome--[a]lin--ker[t]--genome-
0.5029953656606759,-genome--[a]lin--ker[t]--genome--[a]rek--nil[t]--genome-
0.44082739911834523,-lin--ker[t]--genome--[a]lin--ker[t]--genome--illumina--genome-
0.40126596586413477,-lin--ker[t]--genome--[a]lin--ker[t]--genome-
0.38431106589804453,-genome--[a]lin--ker[t]--genome--illumina--[6]--
0.3730077992539844,-genome--[a]rek--nil[t]--genome--[a]rek--nil--illumina--genome-
0.36735616593195436,-genome--[a]rek--nil[t]--genome--illumina--[6]--
0.35040126596586413,-genome--[a]rek--nil[t]--genome--[a]rek--nil[t]--genome-
0.3277947326777439,-lin--ker[t]--genome--[a]rek--nil[t]--genome-
0.3221430993557138,-genome--[a]lin--ker[t]--genome--[a]rek--nil--illumina--genome-
0.29953656606759355,-genome--[a]rek--nil[t]--genome--[a]lin--ker[t]--genome-
0.2938849327455635,-genome--[a]rek--nil[t]--genome--illumina--[2]--
0.2938849327455635,-lin--ker[t]--genome--[a]rek--nil[t]--genome--illumina--genome-
0.2825816661015033,-genome--[a]lin--ker[t]--genome--illumina--[2]--
0.2825816661015033,-genome--[a]lin--ker[t]--genome--illumina--[4]--
0.2712783994574432,-genome--[a]rek--nil[t]--genome--[a]rek--nil[t]--genome--illumina--genome-
0.2599751328133831,-genome--[a]rek--nil[t]--genome--illumina--[4]--
0.20911043291511247,-genome--[a]rek--nil[t]--genome--[a]lin--ker[t]--genome--illumina--genome-
0.20911043291511247,-genome--[a]lin--ker[t]--genome--[a]rek--nil[t]--genome--illumina--genome-
0.2034587995930824,-genome--[a]lin--ker[t]--genome--illumina--[8]--
0.19215553294902227,-genome--[a]lin--ker[t]--genome--[a]lin--ker[t]--genome--illumina--genome-
0.169548999660902,-genome--[a]rek--nil--genome-
0.16389736633887195,-genome--[a]rek--nil[t]--genome--illumina--[8]--
0.15824573301684186,-genome--[a]lin--ker[t]--genome--illumina--[1]--
0.1525940996948118,-genome--[a]lin--ker[t]--genome--illumina-
0.1525940996948118,-genome--[a]rek--nil--genome--illumina--genome-
0.14694246637278174,--[8]--ker[t]--genome-
0.1356391997287216,-genome--[a]rek--nil[t]--genome--illumina--[1]--
0.12433593308466147,-genome--[a]lin--ker[t]--genome--[a]rek--genome-
0.1186842997626314,-genome--[a]rek--nil[t]--genome--illumina-
0.11303266644060134,-genome--[a]lin--[4]--
0.09607776647451113,--[8]--ker[t]--genome--[a]lin--ker[t]--genome-
0.09042613315248106,--[8]--ker[t]--genome--illumina--genome-
0.09042613315248106,--[8]--ker[t]--genome--[a]rek--nil[t]--genome-
0.084774499830451,-genome--[a]rek--nil[t]--genome--[a]lin--genome-
0.084774499830451,-lin--genome--illumina--genome-
0.084774499830451,-genome--[a]rek--[5]--
0.07912286650842093,-genome--nil[t]--genome--illumina--[9]--
0.07912286650842093,-lin--genome-
0.07912286650842093,--[7]--ker[t]--genome-
0.07912286650842093,-genome--rek--nil[t]--genome-
0.07347123318639087,-genome--[a]rek--nil[t]--[11]--
0.07347123318639087,-genome--[a]rek--nil[t]--genome--[a]rek--genome-
0.07347123318639087,--[7]--ker[t]--genome--[a]lin--ker[t]--genome-
0.07347123318639087,-rek--nil[t]--genome--[a]rek--nil[t]--genome--illumina--genome-
0.0678195998643608,-genome--lin--ker[t]--genome--illumina--genome-
0.0678195998643608,-genome--nil[t]--genome--illumina--[2]--
0.0678195998643608,-genome--[a]lin--genome--illumina--[9]--
0.0678195998643608,-lin--genome--[a]lin--ker[t]--genome--illumina--genome-
0.0678195998643608,-genome--[a]rek--nil[t]--genome--[a]lin--ker--illumina--genome-
0.0678195998643608,-genome--lin--ker[t]--genome-
0.0678195998643608,-genome--[a]lin--ker[t]--genome--[a]rek--[8]--illumina--genome-
0.0678195998643608,-genome--[a]lin--ker--genome--illumina--genome-
0.062167966542330734,-genome--nil--illumina--genome-
0.062167966542330734,-genome--ker[t]--genome--illumina--[9]--
0.062167966542330734,-genome--nil[t]--genome--[a]rek--nil[t]--genome-
0.062167966542330734,-genome--[a]rek--nil[t]--genome--[a]rek--[8]--illumina--genome-
0.062167966542330734,-genome--[a]lin--ker[t]--genome--nil--illumina--genome-
0.062167966542330734,-genome--[a]rek--[8]--illumina--genome-
0.062167966542330734,-genome--rek--nil[t]--genome--illumina--genome-
0.062167966542330734,-genome--[a]rek--nil[t]-
0.05651633322030067,-genome--[a]lin--ker[t]--genome--[a]lin--ker--illumina--genome-
0.05651633322030067,-rek--nil[t]--genome--[a]lin--ker[t]--genome--illumina--genome-
0.05651633322030067,-rek--nil[t]--genome--[a]rek--nil[t]--genome-
0.05651633322030067,-genome--nil--genome-
0.05651633322030067,-rek--nil[t]--genome--[a]lin--ker[t]--genome-
0.05651633322030067,-rek--nil[t]--genome-
0.05651633322030067,-genome--[a]lin--ker[t]--genome--nil[t]--genome-
0.0508646998982706,--[8]--ker[t]--genome--[a]rek--nil[t]--genome--illumina--genome-
0.0508646998982706,-genome--[a]rek--[3]--
0.0508646998982706,-genome--[a]rek--[4]--
0.0508646998982706,-genome--[a]rek--genome--[a]lin--ker[t]--genome-
0.0508646998982706,--[7]--ker[t]--genome--[a]rek--nil[t]--genome-
0.0508646998982706,-genome--[a]lin--genome--[a]lin--ker[t]--genome-
0.0508646998982706,-genome--[a]rek--nil[t]--[4]--
0.0508646998982706,-genome--[a]lin--[8]--
0.0508646998982706,-genome--[a]rek--nil[t]--[6]--
0.0508646998982706,-genome--[a]rek--nil[t]--genome--ker[t]--genome-
0.04521306657624053,--[7]--ker[t]--genome--[a]rek--nil[t]--genome--illumina--genome-
0.04521306657624053,-lin--ker[t]--genome--ker[t]--genome--illumina--genome-
0.04521306657624053,-genome--[a]rek--nil[t]--genome--nil[t]--genome-
0.04521306657624053,-genome--[a]rek--nil[t]--[3]--
0.04521306657624053,-genome--[a]lin--ker[t]--[5]--
0.04521306657624053,-genome--ker[t]--genome--[a]lin--ker[t]--genome-
0.04521306657624053,-genome--[a]lin--ker[t]--genome--ker[t]--genome--illumina--genome-
0.04521306657624053,-genome--[a]rek--[7]--
0.04521306657624053,-genome--[a]lin--ker[t]--genome--[a]lin--genome-
0.04521306657624053,-lin--genome--[a]rek--nil[t]--genome-
0.04521306657624053,-lin--genome--[a]lin--ker[t]--genome-
0.04521306657624053,-genome--[a]lin--ker[t]--genome--[a]rek--[7]--illumina--genome-
0.04521306657624053,-genome--[a]rek--[1]--
0.039561433254210465,--[8]--nil[t]--genome--[a]rek--nil[t]--genome--illumina--genome-
0.039561433254210465,--[5]--ker[t]--genome-
0.039561433254210465,-genome--[a]rek--nil[t]--genome--[a]lin--[8]--illumina--genome-
0.039561433254210465,-lin--ker[t]--genome--nil[t]--genome--illumina--genome-
0.039561433254210465,-genome--[a]lin--genome--illumina--[4]--
0.039561433254210465,-genome--illumina--[9]--
0.039561433254210465,-genome--nil[t]--genome--[a]lin--ker[t]--genome-
0.039561433254210465,-genome--[a]rek--[7]--illumina--genome-
0.039561433254210465,-genome--[a]rek-
0.039561433254210465,-genome--[a]rek--genome--illumina--[9]--
0.039561433254210465,-genome--[a]rek--nil[t]--[5]--
0.039561433254210465,-genome--nil[t]--genome--illumina--[4]--
0.039561433254210465,-genome--[a]rek--nil-
0.039561433254210465,-lin--ker[t]--genome--nil[t]--genome-
0.039561433254210465,-genome--[a]rek--nil[t]--genome--[a]rek--[5]--
0.039561433254210465,-genome--[a]lin--genome--[a]rek--nil[t]--genome-
0.0339097999321804,-genome--[a]lin--ker[t]--genome--[a]rek--[3]--
0.0339097999321804,-genome--[a]lin--ker[t]--[9]--
0.0339097999321804,-genome--[a]lin--ker[t]--[1]--
0.0339097999321804,-genome--[a]lin--genome--illumina--[1]--
0.0339097999321804,-genome--[a]lin--ker[t]--[10]--
0.0339097999321804,-genome--[a]rek--nil[t]--genome--nil--illumina--genome-
0.0339097999321804,-genome--[a]rek--nil[t]--[8]--
0.0339097999321804,-genome--[a]rek--nil[t]--genome--[a]rek--genome--illumina--genome-
0.0339097999321804,-genome--[a]rek--nil[t]--[9]--
