Gene.refGene	OMIM_Comments	OMIM_GeneName	OMIM_Phenotypes
AD7CNTP		Alzheimer disease neuronal thread protein	
ALPQTL2	linkage with rs1780324	Alkaline phosphatase, plasma level of, QTL 2	{Alkaline phosphatase, plasma level of, QTL 2}, 612367 (2)
ANON1		Anorexia nervosa, susceptibility to, 1	{Anorexia nervosa, susceptibility to, 1}, 606788 (2)
BCC1	associated with rs7538876	Basal cell carcinoma, susceptibility to, 1	{Basal cell carcinoma, susceptibility to, 1}, 605462 (2)
BMND3	?another locus at 3p21	Bone mineral density QTL 3	[Bone mineral density QTL 3], 606928 (2)
CMM	some linkage studies negative; see 9p	Cutaneous malignant melanoma/dysplastic nevus	{Melanoma, cutaneous malignant, 1}, 155600 (2), Autosomal dominant
MLM	some linkage studies negative; see 9p	Cutaneous malignant melanoma/dysplastic nevus	{Melanoma, cutaneous malignant, 1}, 155600 (2), Autosomal dominant
DNS	some linkage studies negative; see 9p	Cutaneous malignant melanoma/dysplastic nevus	{Melanoma, cutaneous malignant, 1}, 155600 (2), Autosomal dominant
CTRCT8	linked to Rh in Scottish family	Cataract, congenital, Volkmann type	Cataract 8, multiple types, 115665 (2), Autosomal dominant
CCV	linked to Rh in Scottish family	Cataract, congenital, Volkmann type	Cataract 8, multiple types, 115665 (2), Autosomal dominant
DEL1p36	contiguous gene deletion syndrome	Chromosome 1p36 deletion syndrome	Chromosome 1p36 deletion syndrome, 607872 (4), Isolated cases
C1DELp36	contiguous gene deletion syndrome	Chromosome 1p36 deletion syndrome	Chromosome 1p36 deletion syndrome, 607872 (4), Isolated cases
DYX8	between D1S552 and D1S1622	Dyslexia, susceptibility to, 8	{Dyslexia, susceptibility to, 8}, 608995 (2), Autosomal dominant, Multifactorial
ERPL1		Endogenous retroviral pol gene-like sequence 1 (oncogene HLM2)	
HLM2		Endogenous retroviral pol gene-like sequence 1 (oncogene HLM2)	
IBD7	associated with rs6426833	Inflammatory bowel disease 7	{Inflammatory bowel disease 7}, 605225 (2)
MS4	associated with rs10492972	Multiple sclerosis, susceptibility to, 4	{Multiple sclerosis, susceptibility to, 4}, 612596 (2)
MYP14	between D1S552 and D1S1622	Myopia 14	Myopia 14, 610320 (2)
PSORS7		Psoriasis susceptibility 7	{Psoriasis susceptibility 7}, 605606 (2)
PTPRZ2		Protein-tyrosine phosphatase, receptor-type, zeta-2	
SAI1		Suppression of anchorage independence-1 (malignant transformation suppression-1)	
MTS1		Suppression of anchorage independence-1 (malignant transformation suppression-1)	
TFS1		Suppression of anchorage independence-1 (malignant transformation suppression-1)	
ZBTB40IT1		ZBTB40 intronic transcript 1, noncoding	
SAMD11		Sterile alpha motif domain-containing protein 11	
MRS		Sterile alpha motif domain-containing protein 11	
NOC2L		NOC2 like nucleolar associated transcriptional repressor	
NIR		NOC2 like nucleolar associated transcriptional repressor	
PERM1		PPARGC1-and ESRR-induced regulator, muscle, 1	
C1orf170		PPARGC1-and ESRR-induced regulator, muscle, 1	
HES4		Hes family bHLH transcription factor 4	
ISG15		ISG15 ubiquitin-like modifier	Immunodeficiency 38, 616126 (3), Autosomal recessive
G1P2		ISG15 ubiquitin-like modifier	Immunodeficiency 38, 616126 (3), Autosomal recessive
IFI15		ISG15 ubiquitin-like modifier	Immunodeficiency 38, 616126 (3), Autosomal recessive
IMD38		ISG15 ubiquitin-like modifier	Immunodeficiency 38, 616126 (3), Autosomal recessive
