Gene.refGene	OMIM_GeneName	OMIM_Comments	OMIM_Phenotypes
AD7CNTP	Alzheimer disease neuronal thread protein		
ALPQTL2	Alkaline phosphatase, plasma level of, QTL 2	linkage with rs1780324	{Alkaline phosphatase, plasma level of, QTL 2}, 612367 (2)
ANON1	Anorexia nervosa, susceptibility to, 1		{Anorexia nervosa, susceptibility to, 1}, 606788 (2)
BCC1	Basal cell carcinoma, susceptibility to, 1	associated with rs7538876	{Basal cell carcinoma, susceptibility to, 1}, 605462 (2)
BMND3	Bone mineral density QTL 3	?another locus at 3p21	[Bone mineral density QTL 3], 606928 (2)
CMM, MLM, DNS	Cutaneous malignant melanoma/dysplastic nevus	some linkage studies negative; see 9p	{Melanoma, cutaneous malignant, 1}, 155600 (2), Autosomal dominant
CTRCT8, CCV	Cataract, congenital, Volkmann type	linked to Rh in Scottish family	Cataract 8, multiple types, 115665 (2), Autosomal dominant
DEL1p36, C1DELp36	Chromosome 1p36 deletion syndrome	contiguous gene deletion syndrome	Chromosome 1p36 deletion syndrome, 607872 (4), Isolated cases
DYX8	Dyslexia, susceptibility to, 8	between D1S552 and D1S1622	{Dyslexia, susceptibility to, 8}, 608995 (2), Autosomal dominant, Multifactorial
ERPL1, HLM2	Endogenous retroviral pol gene-like sequence 1 (oncogene HLM2)		
IBD7	Inflammatory bowel disease 7	associated with rs6426833	{Inflammatory bowel disease 7}, 605225 (2)
MS4	Multiple sclerosis, susceptibility to, 4	associated with rs10492972	{Multiple sclerosis, susceptibility to, 4}, 612596 (2)
MYP14	Myopia 14	between D1S552 and D1S1622	Myopia 14, 610320 (2)
PSORS7	Psoriasis susceptibility 7		{Psoriasis susceptibility 7}, 605606 (2)
PTPRZ2	Protein-tyrosine phosphatase, receptor-type, zeta-2		
SAI1, MTS1, TFS1	Suppression of anchorage independence-1 (malignant transformation suppression-1)		
ZBTB40IT1	ZBTB40 intronic transcript 1, noncoding		
SAMD11, MRS	Sterile alpha motif domain-containing protein 11		
NOC2L, NIR	NOC2 like nucleolar associated transcriptional repressor		
PERM1, C1orf170	PPARGC1-and ESRR-induced regulator, muscle, 1		
HES4	Hes family bHLH transcription factor 4		
ISG15, G1P2, IFI15, IMD38	ISG15 ubiquitin-like modifier		Immunodeficiency 38, 616126 (3), Autosomal recessive
AGRN, CMS8	Agrin		Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessive
MIR200B, MIRN200B	Micro RNA 200B		
MIR200A, MIRN200A	Micro RNA 200A		
MIR429, MIRN429	Micro RNA 429		
TNFRSF18, AITR, GITR	Tumor necrosis factor receptor superfamily, member 18		
TNFRSF4, TXGP1L, OX40, ACT35, IMD16	Tumor necrosis factor receptor superfamily, member 4	mutation identified in 1 IMD16 family	?Immunodeficiency 16, 615593 (3), Autosomal recessive
SDF4, CAB45	Stromal cell-derived factor 4		
B3GALT6, SEMDJL1, EDSSPD2	UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6		Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3), Autosomal recessive
FAM132A, C1QDC2, C1QTNF12	Family with sequence similarity 132, member A		
SCNN1D	Sodium channel, voltage-gated, type I, delta polypeptide		
CPSF3L, INTS11, RC68	Cleavage and polyadenylation-specific factor 3-like		
GLTPD1, CPTP	Glycolipid transfer protein domain-containing protein 1		
TAS1R3, T1R3	Taste receptor type 1, member 3		
DVL1, DRS2	Dishevelled segment polarity protein 1		Robinow syndrome, autosomal dominant 2, 616331 (3), Autosomal dominant
MXRA8, ASP3	Matrix remodeling-associated protein 8		
AURKAIP1, AKIP, AIP	Aurora kinase A-interacting protein 1		
CCNL2	Cyclin L2		
MRPL20	Mitochondrial ribosomal protein L20		
VWA1, WARP	von Willebrand factor A domain-containing protein 1		
ATAD3C	ATPase family, AAA domain-containing, member 3C		
ATAD3B, TOB3, KIAA1273	ATPase family, AAA domain-containing, member 3B		
ATAD3A, HAYOS	ATPase family, AAA domain-containing, member 3A	one family with AR inheritance reported	Harel-Yoon syndrome, 617183 (3), Autosomal recessive, Autosomal dominant
TMEM240, C1orf70, SCA21	Transmembrane protein 240		Spinocerebellar ataxia 21, 607454 (3), Autosomal dominant
SSU72	Ssu72, S. cerevisiae, homolof of		
MIB2	Mindbomb E3 ubiquitin protein ligase 2		
